product_id,brand_id,sku,product_name,description,category,subcategory,unit_price,unit_cost,weight_kg,is_active,launch_date,tags,created_at,updated_at
1,1,VIT-00001,mRNA LNP Clinical Batch,"Specialty Care product supplied by NorthStar Health System; tracked for regulatory, quality, demand, and care logistics logistics.",Specialty Care,Emergency Care,18500,12600,12,1,2025-11-24,"mrna,lnp,clinical-batch,care logistics",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
2,1,VIT-00002,Sepsis Care Pathway Monitoring Bundle,"Specialty Care product supplied by NorthStar Health System; tracked for regulatory, quality, demand, and care logistics logistics.",Specialty Care,Care Pathways,14200,9100,8,1,2026-03-01,"recombinant-protein,gmp,release-testing",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
3,1,VIT-00003,Operating Room Turnover Optimization Pack,"Specialty Care product supplied by NorthStar Health System; tracked for regulatory, quality, demand, and care logistics logistics.",Specialty Care,OR and Procedural Care,26400,18800,6,1,2024-11-20,"aav,viral-vector,gene-therapy",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
4,1,VIT-00004,Bed Capacity Surge Playbook,"Hospital Operations product supplied by NorthStar Health System; tracked for regulatory, quality, demand, and care logistics logistics.",Hospital Operations,Bed Management,11800,7200,1,1,2025-07-31,"fill-finish,sterile,capacity",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
5,1,VIT-00005,Readmission Risk Review Set,"Quality and Safety product supplied by NorthStar Health System; tracked for regulatory, quality, demand, and care logistics logistics.",Quality and Safety,Readmission Review,3900,2100,3,1,2025-08-13,"stability,ich,quality",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
6,2,SOL-00006,New Clinic Activation Kit,"Care Delivery Supplies product supplied by CarePath Clinics; tracked for regulatory, quality, demand, and care logistics logistics.",Care Delivery Supplies,Clinic Activation,720,420,9,1,2025-06-13,"site-activation,trial-kit,protocol",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
7,2,SOL-00007,Patient Intake Digital Packet,"Care Delivery Supplies product supplied by CarePath Clinics; tracked for regulatory, quality, demand, and care logistics logistics.",Care Delivery Supplies,Patient Materials,95,38,2,1,2025-02-15,"econsent,patient-materials,trial",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
8,2,SOL-00008,Care Plan Label Pack,"Care Delivery Supplies product supplied by CarePath Clinics; tracked for regulatory, quality, demand, and care logistics logistics.",Care Delivery Supplies,Care Plan Labeling,210,92,1,1,2024-07-08,"randomization,labeling,irt",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
9,2,SOL-00009,Medication Reconciliation Kit,"Care Delivery Supplies product supplied by CarePath Clinics; tracked for regulatory, quality, demand, and care logistics logistics.",Care Delivery Supplies,Medication Reconciliation,1280,740,4,1,2026-02-04,"comparator,blinding,trial-supply",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
10,2,SOL-00010,Rapid Response Medication Pack,"Care Delivery Supplies product supplied by CarePath Clinics; tracked for regulatory, quality, demand, and care logistics logistics.",Care Delivery Supplies,Rescue Medication,860,510,5,1,2025-11-19,"rescue-medication,site-pack,safety",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
11,3,AQU-00011,qPCR Respiratory Panel,"Diagnostics product supplied by BioPure Diagnostics; tracked for regulatory, quality, demand, and care logistics logistics.",Diagnostics,Molecular Panels,1180,690,3,1,2024-11-16,"qpcr,diagnostics,respiratory",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
