forecast_id,product_id,region,forecast_date,predicted_demand,confidence_low,confidence_high,social_factor,model_version,explanation,created_at
1,1,Northeast Streaming Corridor,2026-05-06,86,67,107,1.05,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
2,1,Southern Sports Rights Belt,2026-05-07,91,71,112,1.08,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
3,1,West Coast Streaming Launch Belt,2026-05-08,95,74,118,1.11,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
4,1,Florida Family Watch Zone,2026-05-09,100,78,124,1.14,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
5,1,Pacific Northwest Creator Cluster,2026-05-10,105,82,131,1.17,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
6,1,Mountain West Live Event Operations Zone,2026-05-11,110,86,137,1.2,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
7,1,Texas Subscriber Monetization Arc,2026-05-12,116,90,143,1.23,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
8,1,Midwest Sports Replay Cluster,2026-05-13,101,79,125,1.05,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
9,1,Southeast Premiere Belt,2026-05-14,106,83,131,1.08,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
10,1,Las Vegas Live Event Market,2026-05-15,111,87,138,1.11,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
11,1,Boston Premium Original Market,2026-05-16,116,91,144,1.14,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
12,1,Washington Trust and Safety Region,2026-05-17,122,95,151,1.17,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
13,1,Nashville Music Livestream Region,2026-05-18,127,99,158,1.2,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
14,1,San Diego Streaming Launch Market,2026-05-19,133,104,165,1.23,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
15,1,Honolulu International Drama Market,2026-05-20,116,90,143,1.05,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
16,1,Charlotte Matchday Belt,2026-05-21,121,94,150,1.08,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
17,1,Portland Indie Festival Market,2026-05-22,127,99,157,1.11,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
