inventory_id,product_id,center_id,quantity_on_hand,quantity_reserved,quantity_incoming,reorder_point,reorder_qty,last_restock_date,updated_at
1,1,1,114,40,51,66,63,2026-04-22,2026-05-05T16:30:00Z
2,1,2,186,1,25,111,107,2026-05-04,2026-05-05T16:30:00Z
3,1,3,101,2,43,56,147,2026-04-23,2026-05-05T16:30:00Z
4,1,4,179,26,75,94,94,2026-05-03,2026-05-05T16:30:00Z
5,1,5,53,15,59,106,158,2026-04-29,2026-05-05T16:30:00Z
6,1,6,15,1,47,34,101,2026-04-21,2026-05-05T16:30:00Z
7,2,1,46,38,38,39,111,2026-04-24,2026-05-05T16:30:00Z
8,2,2,142,2,11,96,77,2026-04-29,2026-05-05T16:30:00Z
9,2,3,32,22,36,31,80,2026-04-22,2026-05-05T16:30:00Z
10,2,4,52,20,75,70,160,2026-04-21,2026-05-05T16:30:00Z
11,2,5,124,5,38,97,129,2026-04-20,2026-05-05T16:30:00Z
12,2,6,83,36,24,120,111,2026-04-29,2026-05-05T16:30:00Z
13,3,1,49,34,71,59,81,2026-05-02,2026-05-05T16:30:00Z
14,3,2,55,4,70,115,80,2026-04-24,2026-05-05T16:30:00Z
15,3,3,49,17,37,55,61,2026-04-23,2026-05-05T16:30:00Z
16,3,4,103,13,11,70,159,2026-05-03,2026-05-05T16:30:00Z
17,3,5,51,30,25,53,98,2026-04-18,2026-05-05T16:30:00Z
18,3,6,79,9,56,61,78,2026-04-19,2026-05-05T16:30:00Z
19,4,1,50,26,42,74,117,2026-04-16,2026-05-05T16:30:00Z
20,4,2,17,14,39,32,148,2026-04-18,2026-05-05T16:30:00Z
21,4,3,26,2,69,43,100,2026-04-14,2026-05-05T16:30:00Z
22,4,4,53,20,65,61,102,2026-04-30,2026-05-05T16:30:00Z
23,4,5,75,17,50,56,85,2026-04-14,2026-05-05T16:30:00Z
24,4,6,153,33,6,117,102,2026-04-17,2026-05-05T16:30:00Z
25,5,1,26,25,20,39,87,2026-04-26,2026-05-05T16:30:00Z
26,5,2,81,28,29,101,65,2026-04-29,2026-05-05T16:30:00Z
27,5,3,29,12,23,47,80,2026-04-22,2026-05-05T16:30:00Z
28,5,4,45,17,42,33,147,2026-05-02,2026-05-05T16:30:00Z
29,5,5,141,13,76,104,165,2026-04-26,2026-05-05T16:30:00Z
30,5,6,53,23,78,87,64,2026-04-30,2026-05-05T16:30:00Z
31,6,1,48,22,4,110,113,2026-04-23,2026-05-05T16:30:00Z
32,6,2,63,18,38,67,85,2026-04-18,2026-05-05T16:30:00Z
33,6,3,24,2,66,32,74,2026-04-23,2026-05-05T16:30:00Z
34,6,4,25,6,16,35,119,2026-04-16,2026-05-05T16:30:00Z
35,6,5,22,10,5,79,69,2026-04-24,2026-05-05T16:30:00Z
36,6,6,63,5,29,56,161,2026-04-15,2026-05-05T16:30:00Z
37,7,1,111,24,8,62,74,2026-04-29,2026-05-05T16:30:00Z
