connection_id,from_influencer,to_influencer,connection_type,strength,interaction_count,first_seen,last_interaction
1,164,345,collaborates,0.909,80,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
2,363,277,mentioned,0.162,77,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
3,224,268,reshared,0.233,158,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
4,308,268,tagged,0.354,153,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
5,241,484,duet,0.325,15,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
6,187,441,inspired_by,0.406,173,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
10,257,292,reshared,0.194,71,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
11,371,304,tagged,0.14,35,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
12,311,195,duet,0.252,31,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
14,486,305,follows,0.87,72,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
15,222,169,collaborates,0.489,49,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
16,57,445,mentioned,0.291,123,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
17,427,447,reshared,0.704,17,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
18,40,201,tagged,0.21,35,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
19,267,153,duet,0.321,191,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
20,115,265,inspired_by,0.117,52,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
22,85,334,collaborates,0.267,123,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
23,329,75,mentioned,0.213,120,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
24,217,165,reshared,0.976,106,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
25,230,373,tagged,0.333,134,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
27,251,514,inspired_by,0.587,31,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
28,50,455,follows,0.653,75,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
29,255,27,collaborates,0.753,54,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
30,259,208,mentioned,0.309,90,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
31,1,415,reshared,0.715,98,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
32,366,50,tagged,0.736,190,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
33,5,263,duet,0.664,196,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
34,416,181,inspired_by,0.985,87,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
35,80,84,follows,0.671,52,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
36,269,417,collaborates,0.991,25,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
37,101,443,mentioned,0.883,182,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
38,373,107,reshared,0.986,89,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
39,267,491,tagged,0.247,93,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
40,201,18,duet,0.712,98,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
41,256,88,inspired_by,0.22,178,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
42,116,311,follows,0.828,128,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
43,110,188,collaborates,0.573,3,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
44,104,116,mentioned,0.616,39,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
45,338,288,reshared,0.464,84,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
46,157,360,tagged,0.458,104,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
47,233,412,duet,0.499,37,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
50,208,416,collaborates,0.788,81,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
51,111,206,mentioned,0.933,182,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
52,223,291,reshared,0.675,33,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
54,377,41,duet,0.113,187,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
56,136,382,follows,0.358,108,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
57,67,352,collaborates,0.777,119,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
58,11,176,mentioned,0.641,172,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
60,130,20,tagged,0.715,188,2026-06-29T21:44:58Z,2026-06-29T21:44:58Z
