shipment_id,order_id,center_id,carrier,tracking_number,ship_status,distance_km,estimated_hours,ship_cost,shipped_at,delivered_at,created_at
1,2,19,Agency Fleet,GOV-TASK-000001,preparing,67.19,1.4,46.22,,,2026-06-16T12:00:00Z
2,3,5,Interagency Courier,GOV-TASK-000002,packed,31.35,0.8,31.17,,,2026-06-15T13:00:00Z
3,4,4,Public Works Crew,GOV-TASK-000003,in_transit,7.03,0.5,20.95,2026-06-14T18:00:00Z,,2026-06-14T14:00:00Z
4,5,1,Partner Outreach,GOV-TASK-000004,delivered,12.41,0.6,23.21,2026-06-13T19:00:00Z,2026-06-14T15:00:00Z,2026-06-13T15:00:00Z
5,9,12,Agency Fleet,GOV-TASK-000005,preparing,79.35,1.5,51.33,,,2026-06-09T11:00:00Z
6,10,10,Interagency Courier,GOV-TASK-000006,packed,3.01,0.4,19.26,,,2026-06-08T12:00:00Z
7,11,14,Public Works Crew,GOV-TASK-000007,in_transit,109.04,2,63.8,2026-06-07T17:00:00Z,,2026-06-07T13:00:00Z
8,12,8,Partner Outreach,GOV-TASK-000008,delivered,21.79,0.7,27.15,2026-06-06T18:00:00Z,2026-06-07T15:00:00Z,2026-06-06T14:00:00Z
9,16,16,Agency Fleet,GOV-TASK-000009,preparing,9.15,0.5,21.84,,,2026-06-02T18:00:00Z
10,17,22,Interagency Courier,GOV-TASK-000010,packed,122.63,2.2,69.5,,,2026-06-01T11:00:00Z
11,18,8,Public Works Crew,GOV-TASK-000011,in_transit,49.2,1.1,38.66,2026-05-31T16:00:00Z,,2026-05-31T12:00:00Z
12,19,19,Partner Outreach,GOV-TASK-000012,delivered,9.12,0.5,21.83,2026-05-30T17:00:00Z,2026-05-31T15:00:00Z,2026-05-30T13:00:00Z
13,23,24,Agency Fleet,GOV-TASK-000013,preparing,66.54,1.4,45.95,,,2026-05-26T17:00:00Z
14,24,7,Interagency Courier,GOV-TASK-000014,packed,148.92,2.5,80.55,,,2026-05-25T18:00:00Z
15,25,25,Public Works Crew,GOV-TASK-000015,in_transit,3.01,0.4,19.26,2026-05-24T15:00:00Z,,2026-05-24T11:00:00Z
16,26,25,Partner Outreach,GOV-TASK-000016,delivered,80.25,1.5,51.71,2026-05-23T16:00:00Z,2026-05-24T15:00:00Z,2026-05-23T12:00:00Z
17,30,13,Agency Fleet,GOV-TASK-000017,preparing,93.68,1.7,57.35,,,2026-05-19T16:00:00Z
18,31,31,Interagency Courier,GOV-TASK-000018,packed,7.11,0.5,20.99,,,2026-05-18T17:00:00Z
19,32,5,Public Works Crew,GOV-TASK-000019,in_transit,12.98,0.6,23.45,2026-05-17T22:00:00Z,,2026-05-17T18:00:00Z
20,33,7,Partner Outreach,GOV-TASK-000020,delivered,89.07,1.7,55.41,2026-05-16T15:00:00Z,2026-05-17T15:00:00Z,2026-05-16T11:00:00Z
21,37,6,Agency Fleet,GOV-TASK-000021,preparing,8.06,0.5,21.39,,,2026-05-12T15:00:00Z
22,38,19,Interagency Courier,GOV-TASK-000022,packed,76,1.5,49.92,,,2026-05-11T16:00:00Z
23,39,6,Public Works Crew,GOV-TASK-000023,in_transit,34.54,0.9,32.51,2026-05-10T21:00:00Z,,2026-05-10T17:00:00Z
24,40,9,Partner Outreach,GOV-TASK-000024,delivered,5.02,0.5,20.11,2026-05-09T22:00:00Z,2026-05-10T15:00:00Z,2026-05-09T18:00:00Z
25,44,31,Agency Fleet,GOV-TASK-000025,preparing,76.81,1.5,50.26,,,2026-05-05T14:00:00Z
26,45,21,Interagency Courier,GOV-TASK-000026,packed,102.8,1.9,61.18,,,2026-05-04T15:00:00Z
27,46,15,Public Works Crew,GOV-TASK-000027,in_transit,5.02,0.5,20.11,2026-05-03T20:00:00Z,,2026-05-03T16:00:00Z
28,47,23,Partner Outreach,GOV-TASK-000028,delivered,121.09,2.1,68.86,2026-05-02T21:00:00Z,2026-05-03T15:00:00Z,2026-05-02T17:00:00Z
29,51,2,Agency Fleet,GOV-TASK-000029,preparing,133.93,2.3,74.25,,,2026-04-28T13:00:00Z
30,52,21,Interagency Courier,GOV-TASK-000030,packed,10.13,0.5,22.25,,,2026-04-27T14:00:00Z
31,53,21,Public Works Crew,GOV-TASK-000031,in_transit,114.87,2,66.25,2026-04-26T19:00:00Z,,2026-04-26T15:00:00Z
32,54,7,Partner Outreach,GOV-TASK-000032,delivered,92.03,1.7,56.65,2026-04-25T20:00:00Z,2026-04-26T15:00:00Z,2026-04-25T16:00:00Z
33,58,27,Agency Fleet,GOV-TASK-000033,preparing,4.02,0.5,19.69,,,2026-04-21T12:00:00Z
34,59,27,Interagency Courier,GOV-TASK-000034,packed,121.5,2.1,69.03,,,2026-04-20T13:00:00Z
