PROCUREMENT_FACT_ID,PO_NUMBER,VENDOR_ID,VENDOR_REGION,CREATION_DATE,PO_STATUS,TOTAL_AMOUNT,VENDOR_RATING
52400,PO-2025-050732,1128,Latam,2025-09-04T00:00:00Z,APPROVED,6003.81,4.3
53900,PO-2025-054080,1026,Latam,2025-10-05T00:00:00Z,APPROVED,520.85,4.7
103400,PO-2025-073110,1181,Latam,2025-11-04T00:00:00Z,APPROVED,20067.49,3
52021,PO-2025-050069,1108,Latam,2025-10-11T00:00:00Z,APPROVED,16580.93,3.1
52022,PO-2025-050195,1108,Latam,2025-09-21T00:00:00Z,APPROVED,24380.63,3.1
52034,PO-2025-052548,1108,Latam,2025-07-26T00:00:00Z,APPROVED,243428.69,3.1
52035,PO-2025-052580,1108,Latam,2025-12-09T00:00:00Z,APPROVED,14277.31,3.1
52038,PO-2025-052902,1108,Latam,2025-02-24T00:00:00Z,APPROVED,1894.48,3.1
52044,PO-2025-053252,1108,Latam,2025-06-18T00:00:00Z,APPROVED,20535.38,3.1
52270,PO-2025-051006,1121,Latam,2025-01-12T00:00:00Z,APPROVED,13414.84,3
52273,PO-2025-051809,1121,Latam,2025-11-02T00:00:00Z,APPROVED,19716.89,3
52281,PO-2025-053195,1121,Latam,2025-05-16T00:00:00Z,APPROVED,2177.46,3
52330,PO-2025-051294,1124,Latam,2025-10-11T00:00:00Z,APPROVED,12622.28,4.9
52332,PO-2025-052459,1124,Latam,2025-07-07T00:00:00Z,APPROVED,666.21,4.9
52398,PO-2025-050384,1128,Latam,2025-07-20T00:00:00Z,APPROVED,14294.4,4.3
52399,PO-2025-050469,1128,Latam,2025-01-07T00:00:00Z,APPROVED,663.55,4.3
52401,PO-2025-050890,1128,Latam,2025-03-26T00:00:00Z,APPROVED,9749.01,4.3
52402,PO-2025-050902,1128,Latam,2025-05-02T00:00:00Z,APPROVED,106762.97,4.3
52405,PO-2025-051215,1128,Latam,2025-09-01T00:00:00Z,APPROVED,6848.39,4.3
52406,PO-2025-051479,1128,Latam,2025-01-17T00:00:00Z,APPROVED,12382.2,4.3
52417,PO-2025-053259,1128,Latam,2025-08-19T00:00:00Z,APPROVED,17782.11,4.3
52531,PO-2025-050971,1134,Latam,2025-05-10T00:00:00Z,APPROVED,5052.98,3.9
52533,PO-2025-051504,1134,Latam,2025-12-11T00:00:00Z,APPROVED,129953.59,3.9
52539,PO-2025-052255,1134,Latam,2025-06-25T00:00:00Z,APPROVED,15473.35,3.9
52554,PO-2025-050500,1135,Latam,2025-02-04T00:00:00Z,APPROVED,14909.27,4.6
52556,PO-2025-050985,1135,Latam,2025-03-04T00:00:00Z,APPROVED,17442.52,4.6
53902,PO-2025-054643,1026,Latam,2025-08-26T00:00:00Z,APPROVED,1496.94,4.7
53903,PO-2025-054725,1026,Latam,2025-06-12T00:00:00Z,APPROVED,16066.82,4.7
53905,PO-2025-053804,1027,Latam,2025-07-06T00:00:00Z,APPROVED,20602.39,3.5
53906,PO-2025-053822,1027,Latam,2025-12-24T00:00:00Z,APPROVED,10605.9,3.5
