txn_id,sale_timestamp,store_id,product_id,qty_sold,total_sale_amount
1,31:48.0,1,93,1,90.88
1,31:48.0,1,43,1,176.47
2,18:27.0,2,1,1,181.18
2,18:27.0,2,4,1,13.39
3,56:00.0,3,5,1,58.09
3,56:00.0,3,1,1,181.18
3,56:00.0,3,2,2,98.04
4,28:47.0,4,2,1,49.02
4,28:47.0,4,1,1,181.18
5,29:03.0,5,2,1,49.02
5,29:03.0,5,14,1,37.68
6,38:08.0,6,2,1,49.02
6,38:08.0,6,4,1,13.39
6,38:08.0,6,68,1,23.48
7,48:28.0,5,2,1,49.02
7,48:28.0,5,1,1,181.18
8,00:15.0,1,4,3,40.17
8,00:15.0,1,23,1,185.94
9,49:02.0,2,3,1,105.85
9,49:02.0,2,7,5,232.9
9,49:02.0,2,5,1,58.09
10,13:50.0,4,2,1,49.02
10,13:50.0,4,107,1,34.52
11,30:44.0,3,1,1,181.18
11,30:44.0,3,2,1,49.02
12,32:55.0,5,21,1,143.35
12,32:55.0,5,5,2,116.18
12,32:55.0,5,3,1,105.85
13,28:09.0,6,2,2,98.04
13,28:09.0,6,1,1,181.18
14,01:33.0,1,1,1,181.18
14,01:33.0,1,5,1,58.09
15,06:21.0,4,2,1,49.02
15,06:21.0,4,1,1,181.18
16,40:56.0,2,2,2,98.04
16,40:56.0,2,4,1,13.39
17,01:22.0,3,4,1,13.39
17,01:22.0,3,21,1,143.35
18,16:47.0,5,58,1,67.54
18,16:47.0,5,2,2,98.04
19,21:26.0,1,9,1,172.52
19,21:26.0,1,8,1,58.5
20,08:11.0,4,22,1,21.39
20,08:11.0,4,1,1,181.18
21,27:51.0,6,25,1,21.58
21,27:51.0,6,2,1,49.02
22,23:08.0,2,1,1,181.18
22,23:08.0,2,5,1,58.09
23,01:54.0,3,1,1,163.06
23,01:54.0,3,28,3,199.39
23,01:54.0,3,92,2,59.33
24,37:42.0,5,4,1,13.39
24,37:42.0,5,23,1,185.94
25,24:39.0,1,196,1,46.87
25,24:39.0,1,30,1,85.18
26,19:31.0,4,47,1,94.3
26,19:31.0,4,42,1,8.84
27,29:01.0,6,1,1,181.18
27,29:01.0,6,9,1,172.52
28,47:44.0,5,2,1,49.02
28,47:44.0,5,40,1,163.3
29,59:55.0,2,2,2,98.04
29,59:55.0,2,4,1,13.39
30,27:47.0,1,9,1,172.52
30,27:47.0,1,1,1,181.18
31,42:21.0,3,3,2,211.7
31,42:21.0,3,5,1,58.09
32,46:34.0,4,4,2,26.78
32,46:34.0,4,2,1,49.02
32,46:34.0,4,191,1,104.34
32,46:34.0,4,58,1,67.54
33,07:33.0,5,2,1,49.02
33,07:33.0,5,45,1,110.73
33,07:33.0,5,7,1,46.58
34,14:28.0,2,25,1,21.58
34,14:28.0,2,49,2,50.22
35,57:52.0,6,1,2,362.36
35,57:52.0,6,94,1,25.9
35,57:52.0,6,4,1,13.39
36,04:09.0,1,2,1,49.02
36,04:09.0,1,5,1,58.09
37,58:47.0,3,4,2,26.78
37,58:47.0,3,5,2,116.18
38,25:07.0,5,14,2,75.36
38,25:07.0,5,188,1,177.2
38,25:07.0,5,5,1,58.09
39,49:14.0,2,70,2,34.42
39,49:14.0,2,68,1,19.96
40,25:47.0,1,12,2,446.48
40,25:47.0,1,22,1,21.39
40,25:47.0,1,1,1,181.18
41,36:19.0,3,1,1,181.18
41,36:19.0,3,2,2,98.04
42,49:39.0,4,2,1,39.22
42,49:39.0,4,165,1,26.18
43,44:12.0,2,11,1,57.63
43,44:12.0,2,79,1,32.73
44,48:31.0,6,1,1,181.18
44,48:31.0,6,170,1,42.24
45,34:25.0,5,16,2,295.9
45,34:25.0,5,5,1,58.09
46,01:42.0,3,5,1,58.09
46,01:42.0,3,20,1,21.4
47,34:28.0,4,100,1,35.66
47,34:28.0,4,2,1,39.22
48,38:59.0,5,2,1,49.02
48,38:59.0,5,16,2,295.9
49,37:36.0,1,25,1,21.58
49,37:36.0,1,2,1,49.02
50,56:36.0,2,5,1,58.09
50,56:36.0,2,49,2,50.22
50,56:36.0,2,2,1,49.02
51,23:36.0,6,2,1,49.02
51,23:36.0,6,12,1,223.24
51,23:36.0,6,14,2,75.36
52,37:59.0,3,2,1,49.02
52,37:59.0,3,29,1,36.57
53,45:39.0,4,16,2,295.9
53,45:39.0,4,14,2,75.36
53,45:39.0,4,2,1,49.02
54,35:30.0,5,2,1,49.02
54,35:30.0,5,14,1,37.68
55,34:01.0,1,5,1,58.09
55,34:01.0,1,2,1,49.02
55,34:01.0,1,10,1,32.7
56,35:13.0,2,1,1,181.18
56,35:13.0,2,19,1,190.79
57,07:58.0,3,1,1,181.18
57,07:58.0,3,1,1,181.18
58,42:23.0,5,26,1,40.86
58,42:23.0,5,1,1,181.18
59,13:31.0,4,12,1,223.24
59,13:31.0,4,2,1,49.02
60,57:27.0,6,2,2,98.04
60,57:27.0,6,5,1,58.09
60,57:27.0,6,27,1,153.73
61,00:32.0,5,7,1,46.58
61,00:32.0,5,6,1,18.26
62,42:45.0,1,2,1,49.02
62,42:45.0,1,4,1,13.39
63,08:09.0,2,14,1,37.68
63,08:09.0,2,40,1,163.3
64,30:30.0,3,49,1,20.09
64,30:30.0,3,12,1,178.59
65,57:18.0,4,5,1,58.09
65,57:18.0,4,25,1,21.58
66,58:24.0,5,5,1,58.09
66,58:24.0,5,2,2,98.04
67,55:25.0,1,4,1,13.39
67,55:25.0,1,29,1,36.57
68,15:10.0,2,33,1,27.48
68,15:10.0,2,2,1,39.22
68,15:10.0,2,31,1,57.19
69,46:19.0,3,16,2,295.9
69,46:19.0,3,23,3,557.82
69,46:19.0,3,2,1,49.02
70,51:42.0,5,12,1,223.24
70,51:42.0,5,1,2,362.36
71,54:33.0,4,1,1,181.18
71,54:33.0,4,2,1,49.02
71,54:33.0,4,4,2,26.78
72,14:49.0,6,5,1,58.09
