post_id,influencer_id,platform,external_post_id,post_text,posted_at,likes_count,shares_count,comments_count,views_count,sentiment_score,virality_score,detected_products,momentum_flag
1,1,threads,GOLD-SIGNAL-1-1,Gold supplier feed shows active demand for Velocityworks Baseball Glove 1 in Team Sports with current retail price $12.03.,2026-05-07T02:49:12,489,67,32,11469,0.2,78,1,rising
2,2,youtube,GOLD-SIGNAL-2-2,Gold supplier feed shows active demand for Trailforge Smart Scale 2 in Fitness Devices with current retail price $257.07.,2026-05-06T21:38:24,596,92,47,15504,0.25,83,2,viral
3,3,instagram,GOLD-SIGNAL-3-3,Gold supplier feed shows active demand for Velocityworks Training Hoodie 3 in Activewear with current retail price $162.66.,2026-05-06T16:27:36,2293,398,208,63111,0.3,99,3,mega_viral
4,4,tiktok,GOLD-SIGNAL-4-4,Gold supplier feed shows active demand for Hydrawave Bike Light Set 4 in Cycling with current retail price $25.07. Product 4 remains part of the PeakGear gold-data catalog.,2026-05-06T12:00:00,503,96,27,16290,0.35,87,4,viral
5,5,twitter,GOLD-SIGNAL-5-5,Gold supplier feed shows active demand for Trailforge Compression Shorts 5 in Activewear with current retail price $46.51.,2026-05-06T06:49:12,708,84,47,24564,0.4,67,5,rising
6,6,threads,GOLD-SIGNAL-6-6,Gold supplier feed shows active demand for Ironkinetic Repair Kit 6 in Cycling with current retail price $111.68. Product 6 remains part of the PeakGear gold-data catalog.,2026-05-06T01:38:24,992,136,78,36912,0.45,78,6,rising
7,7,youtube,GOLD-SIGNAL-7-7,Gold supplier feed shows active demand for Canyonridge Trail Runner 7 in Footwear with current retail price $172.1. Product 7 remains part of the PeakGear gold-data catalog.,2026-05-05T20:27:36,1097,171,99,43983,0.5,85,7,viral
8,8,instagram,GOLD-SIGNAL-8-8,Gold supplier feed shows active demand for Velocityworks Gps Fitness Watch 8 in Fitness Devices with current retail price $283.78.,2026-05-05T16:00:00,1076,187,59,46392,0.15,90,8,viral
9,9,tiktok,GOLD-SIGNAL-9-9,Gold supplier feed shows active demand for Trailforge Training Hoodie 9 in Uncategorized with current retail price $29.61.,2026-05-05T10:49:12,1202,230,80,22836,0.2,67,9,rising
10,10,twitter,GOLD-SIGNAL-10-10,Gold supplier feed shows active demand for Summitpulse Belay Device 10 in Climbing with current retail price $141.81. Product 10 remains part of the PeakGear gold-data catalog.,2026-05-05T05:38:24,1470,176,116,32070,0.25,77,10,rising
11,11,threads,GOLD-SIGNAL-11-11,Gold supplier feed shows active demand for Ironkinetic Kettlebell 11 in Strength Training with current retail price $163.13.,2026-05-05T00:27:36,2840,391,258,69360,0.3,99,11,mega_viral
12,12,youtube,GOLD-SIGNAL-12-12,Gold supplier feed shows active demand for Ironkinetic Daypack 12 in Outdoor with current retail price $274.41. Product 12 remains part of the PeakGear gold-data catalog.,2026-05-04T20:00:00,1293,201,71,36111,0.35,85,12,viral
13,13,instagram,GOLD-SIGNAL-13-13,Gold supplier feed shows active demand for Peakgear    Foam Roller   13 in Running with current retail price $122.11. Product 13 remains part of the PeakGear gold-data catalog.,2026-05-04T14:49:12,201,34,13,7230,0.4,60,13,normal
14,14,tiktok,GOLD-SIGNAL-14-14,Gold supplier feed shows active demand for Summitpulse Running Socks 14 in Running with current retail price $62.44. Product 14 remains part of the PeakGear gold-data catalog.,2026-05-04T09:38:24,369,70,29,13377,0.45,72,14,rising
15,15,twitter,GOLD-SIGNAL-15-15,Gold supplier feed shows active demand for Summitpulse Outdoor Jacket 15 in Outdoor with current retail price $477.9. Product 15 remains part of the PeakGear gold-data catalog.,2026-05-04T04:27:36,630,75,57,23880,0.5,85,15,viral
16,16,threads,GOLD-SIGNAL-16-16,Gold supplier feed shows active demand for Ironkinetic Snow Helmet 16 in Winter Sports with current retail price $365.59.,2026-05-04T00:00:00,1250,172,68,49950,0.15,99,16,mega_viral
17,17,youtube,GOLD-SIGNAL-17-17,Gold supplier feed shows active demand for Nordcrest Running Shoe 17 in Footwear with current retail price $41.61. Product 17 remains part of the PeakGear gold-data catalog.,2026-05-03T18:49:12,637,99,42,27954,0.2,92,17,viral
18,18,instagram,GOLD-SIGNAL-18-18,Gold supplier feed shows active demand for Nordcrest Carabiner Set 18 in Climbing with current retail price $77.98. Product 18 remains part of the PeakGear gold-data catalog.,2026-05-03T13:38:24,757,131,59,14826,0.25,69,18,rising
19,19,tiktok,GOLD-SIGNAL-19-19,Gold supplier feed shows active demand for Nordcrest Base Layer Top 19 in Activewear with current retail price $24.54. Product 19 remains part of the PeakGear gold-data catalog.,2026-05-03T08:27:36,730,140,66,16530,0.3,73,19,rising
20,20,twitter,GOLD-SIGNAL-20-20,Gold supplier feed shows active demand for Hydrawave Volleyball 20 in Uncategorized with current retail price $230.76. Product 20 remains part of the PeakGear gold-data catalog.,2026-05-03T04:00:00,1167,140,64,29208,0.35,87,20,viral
21,21,threads,GOLD-SIGNAL-21-21,Gold supplier feed shows active demand for Ironkinetic Bike Light Set 21 in Uncategorized with current retail price $81.2.,2026-05-02T22:49:12,1404,193,94,39108,0.4,96,21,mega_viral
22,22,youtube,GOLD-SIGNAL-22-22,Gold supplier feed shows active demand for Canyonridge Gps Fitness Watch 22 in Fitness Devices with current retail price $422.72.,2026-05-02T17:38:24,1290,201,101,39900,0.45,69,22,rising
23,23,instagram,GOLD-SIGNAL-23-23,Gold supplier feed shows active demand for Velocityworks Dry Bag 23 in Water Sports with current retail price $9.91. Product 23 remains part of the PeakGear gold-data catalog.,2026-05-02T12:27:36,2155,374,196,72315,0.5,88,23,viral
24,24,tiktok,GOLD-SIGNAL-24-24,Gold supplier feed shows active demand for Ironkinetic Trekking Poles 24 in Outdoor with current retail price $196.2. Product 24 remains part of the PeakGear gold-data catalog.,2026-05-02T08:00:00,1335,256,73,49260,0.15,81,24,rising
25,25,twitter,GOLD-SIGNAL-25-25,Gold supplier feed shows active demand for Summitpulse Basketball 25 in Team Sports with current retail price $105.01. Product 25 remains part of the PeakGear gold-data catalog.,2026-05-02T02:49:12,1603,192,107,63717,0.2,90,25,viral
26,26,threads,GOLD-SIGNAL-26-26,Gold supplier feed shows active demand for Ironkinetic Kettlebell 26 in Strength Training with current retail price $220.98.,2026-05-01T21:38:24,277,38,21,12834,0.25,66,26,rising
27,27,youtube,GOLD-SIGNAL-27-27,Gold supplier feed shows active demand for Nordcrest Base Layer Top 27 in Activewear with current retail price $91.01. Product 27 remains part of the PeakGear gold-data catalog.,2026-05-01T16:27:36,338,52,30,7284,0.3,71,27,rising
28,28,instagram,GOLD-SIGNAL-28-28,Gold supplier feed shows active demand for Nordcrest Performance Tee 28 in Activewear with current retail price $90.46. Product 28 remains part of the PeakGear gold-data catalog.,2026-05-01T12:00:00,473,82,26,11133,0.35,80,28,rising
29,29,tiktok,GOLD-SIGNAL-29-29,Gold supplier feed shows active demand for Trailforge Trail Runner 29 in Footwear with current retail price $191.99. Product 29 remains part of the PeakGear gold-data catalog.,2026-05-01T06:49:12,2474,475,165,60576,0.4,99,29,mega_viral
30,30,twitter,GOLD-SIGNAL-30-30,Gold supplier feed shows active demand for Hydrawave Training Hoodie 30 in Activewear with current retail price $26.27. Product 30 remains part of the PeakGear gold-data catalog.,2026-05-01T01:38:24,872,104,68,24744,0.45,69,30,rising
31,1,threads,GOLD-SIGNAL-31-31,Gold supplier feed shows active demand for Peakgear Repair Kit 31 in Cycling with current retail price $340.92. Product 31 remains part of the PeakGear gold-data catalog.,2026-04-30T20:27:36,768,105,69,24240,0.5,70,31,rising
32,2,youtube,GOLD-SIGNAL-32-32,Gold supplier feed shows active demand for Hydrawave Pickleball Paddle 32 in Racquet Sports with current retail price $72.97.,2026-04-30T16:00:00,607,94,33,21231,0.15,72,32,rising
33,3,instagram,GOLD-SIGNAL-33-33,Gold supplier feed shows active demand for Aerostride  Training   Hoodie  33 in Activewear with current retail price $132.1.,2026-04-30T10:49:12,786,136,52,29496,0.2,81,33,rising
34,4,tiktok,GOLD-SIGNAL-34-34,Gold supplier feed shows active demand for Velocityworks Reflective Vest 34 in Running with current retail price $250.78.,2026-05-07T05:38:24,1307,250,103,52173,0.25,95,34,mega_viral
35,5,twitter,GOLD-SIGNAL-35-35,Gold supplier feed shows active demand for Velocityworks Reflective Vest 35 in Running with current retail price $72.37.,2026-05-07T00:27:36,3079,369,280,130518,0.3,99,35,mega_viral
36,6,threads,GOLD-SIGNAL-36-36,Gold supplier feed shows active demand for Velocityworks Daypack 36 in Outdoor with current retail price $43.4. Product 36 remains part of the PeakGear gold-data catalog.,2026-05-06T20:00:00,1503,207,82,28254,0.35,79,36,rising
37,7,youtube,GOLD-SIGNAL-37-37,Gold supplier feed shows active demand for Trailforge Compression Shorts 37 in Activewear with current retail price $56.02.,2026-05-06T14:49:12,1149,179,76,25329,0.4,79,37,rising
38,8,instagram,GOLD-SIGNAL-38-38,Gold supplier feed shows active demand for Velocityworks Adjustable Dumbbells 38 in Strength Training with current retail price $211.05.,2026-05-06T09:38:24,1186,206,93,29664,0.45,86,38,viral
39,9,tiktok,GOLD-SIGNAL-39-39,Gold supplier feed shows active demand for Hydrawave Training Hoodie 39 in Activewear with current retail price $88.58. Product 39 remains part of the PeakGear gold-data catalog.,2026-05-06T04:27:36,288,55,26,8976,0.5,67,39,rising
40,10,twitter,GOLD-SIGNAL-40-40,Gold supplier feed shows active demand for Aerostride Foam Roller 40 in Running with current retail price $138.47. Product 40 remains part of the PeakGear gold-data catalog.,2026-05-06T00:00:00,738,88,40,23340,0.15,91,40,viral
41,11,threads,GOLD-SIGNAL-41-41,Gold supplier feed shows active demand for Velocityworks Dry Bag 41 in Water Sports with current retail price $138.0. Product 41 remains part of the PeakGear gold-data catalog.,2026-05-05T18:49:12,522,72,34,18426,0.2,82,41,viral
42,12,youtube,GOLD-SIGNAL-42-42,Gold supplier feed shows active demand for Ironkinetic Belay Device 42 in Climbing with current retail price $10.44. Product 42 remains part of the PeakGear gold-data catalog.,2026-05-05T13:38:24,840,131,66,31440,0.25,96,42,mega_viral
43,13,instagram,GOLD-SIGNAL-43-43,Gold supplier feed shows active demand for Nordcrest Bike Light Set 43 in Cycling with current retail price $231.72. Product 43 remains part of the PeakGear gold-data catalog.,2026-05-05T08:27:36,742,129,67,30138,0.3,66,43,rising
44,14,tiktok,GOLD-SIGNAL-44-44,Gold supplier feed shows active demand for Ironkinetic Cross-Training Shoe 44 in Footwear with current retail price $201.84.,2026-05-05T04:00:00,924,177,50,40008,0.35,75,44,rising
45,15,twitter,GOLD-SIGNAL-45-45,Gold supplier feed shows active demand for Canyonridge Tennis Racket 45 in Racquet Sports with current retail price $399.11.,2026-05-04T22:49:12,3170,380,212,58260,0.4,99,45,mega_viral
46,16,threads,GOLD-SIGNAL-46-46,Gold supplier feed shows active demand for Velocityworks Wetsuit 46 in Water Sports with current retail price $33.45. Product 46 remains part of the PeakGear gold-data catalog.,2026-05-04T17:38:24,788,108,62,17748,0.45,82,46,viral
47,17,youtube,GOLD-SIGNAL-47-47,Gold supplier feed shows active demand for Peakgear Paddle Leash 47 in Water Sports with current retail price $154.45. Product 47 remains part of the PeakGear gold-data catalog.,2026-05-04T12:27:36,1672,260,152,41328,0.5,99,47,mega_viral
48,18,instagram,GOLD-SIGNAL-48-48,Gold supplier feed shows active demand for Hydrawave Adjustable Dumbbells 48 in Strength Training with current retail price $266.82.,2026-05-04T08:00:00,1395,242,76,38865,0.15,73,48,rising
49,19,tiktok,GOLD-SIGNAL-49-49,Gold supplier feed shows active demand for Summitpulse Repair Kit 49 in Cycling with current retail price $220.43. Product 49 remains part of the PeakGear gold-data catalog.,2026-05-04T02:49:12,1819,349,121,55770,0.2,84,49,viral
50,20,twitter,GOLD-SIGNAL-50-50,Gold supplier feed shows active demand for Trailforge Climbing Harness 50 in Climbing with current retail price $111.19.,2026-05-03T21:38:24,1684,202,133,56772,0.25,87,50,viral
51,21,threads,GOLD-SIGNAL-51-51,Gold supplier feed shows active demand for Velocityworks Base Layer Pants 51 in Winter Sports with current retail price $264.93.,2026-05-03T16:27:36,1200,165,109,44400,0.3,87,51,viral
52,22,youtube,GOLD-SIGNAL-52-52,Gold supplier feed shows active demand for Canyonridge Foam Roller 52 in Running with current retail price $55.33. Product 52 remains part of the PeakGear gold-data catalog.,2026-05-03T12:00:00,198,30,10,8922,0.35,62,52,normal
53,23,instagram,GOLD-SIGNAL-53-53,Gold supplier feed shows active demand for Summitpulse Resistance Band Set 53 in Strength Training with current retail price $106.98.,2026-05-03T06:49:12,384,66,25,17328,0.4,74,53,rising
54,24,tiktok,GOLD-SIGNAL-54-54,Gold supplier feed shows active demand for Aerostride Cycling Jersey 54 in Cycling with current retail price $177.64. Product 54 remains part of the PeakGear gold-data catalog.,2026-05-03T01:38:24,632,121,49,12576,0.45,87,54,viral
55,25,twitter,GOLD-SIGNAL-55-55,Gold supplier feed shows active demand for Aerostride Snow Helmet 55 in Uncategorized with current retail price $112.89.,2026-05-02T20:27:36,738,88,67,16698,0.5,93,55,viral
56,26,threads,GOLD-SIGNAL-56-56,Gold supplier feed shows active demand for Ironkinetic Repair Kit 56 in Cycling with current retail price $204.04. Product 56 remains part of the PeakGear gold-data catalog.,2026-05-02T16:00:00,2079,286,114,51096,0.15,99,56,mega_viral
57,27,youtube,GOLD-SIGNAL-57-57,Gold supplier feed shows active demand for Trailforge Badminton Set 57 in Racquet Sports with current retail price $228.53.,2026-05-02T10:49:12,722,112,48,20694,0.2,71,57,rising
