PROCUREMENT_FACT_ID,PO_NUMBER,VENDOR_ID,VENDOR_REGION,CREATION_DATE,PO_STATUS,TOTAL_AMOUNT,VENDOR_RATING
4293,PO-104293,800,EMEA,2024-10-10T00:00:00Z,APPROVED,170202.91,4.3
4294,PO-104294,843,EMEA,2025-07-17T00:00:00Z,OPEN,112664.29,4.9
4295,PO-104295,922,NA,2025-11-18T00:00:00Z,OPEN,193569.42,4.2
4296,PO-104296,677,NA,2022-10-17T00:00:00Z,APPROVED,98521.59,4.8
4297,PO-104297,111,EMEA,2024-07-10T00:00:00Z,OPEN,190809.41,4.5
4298,PO-104298,339,EMEA,2025-03-19T00:00:00Z,APPROVED,199477.05,4.7
4299,PO-104299,801,APAC,2023-11-15T00:00:00Z,OPEN,134653.05,4.8
4300,PO-104300,906,EMEA,2022-01-31T00:00:00Z,APPROVED,217554.19,4.4
4301,PO-104301,821,EMEA,2025-11-23T00:00:00Z,OPEN,88421.71,3.1
4302,PO-104302,880,EMEA,2024-01-30T00:00:00Z,CLOSED,13068.9,3.4
4303,PO-104303,157,EMEA,2024-10-07T00:00:00Z,APPROVED,211067.66,3.1
4304,PO-104304,922,NA,2024-02-04T00:00:00Z,APPROVED,222628.75,4.2
4305,PO-104305,795,APAC,2023-12-15T00:00:00Z,APPROVED,82302.92,4
4306,PO-104306,768,NA,2021-05-20T00:00:00Z,APPROVED,25339.8,4.7
4307,PO-104307,351,NA,2024-03-22T00:00:00Z,CLOSED,126337.54,3.1
4308,PO-104308,812,NA,2022-04-24T00:00:00Z,APPROVED,77256.99,3.9
4309,PO-104309,953,NA,2023-10-17T00:00:00Z,OPEN,219875.64,3
4310,PO-104310,587,APAC,2025-04-16T00:00:00Z,CANCELLED,136842.63,3.3
4311,PO-104311,508,LATAM,2021-11-27T00:00:00Z,OPEN,85285.58,5
4312,PO-104312,302,NA,2024-10-07T00:00:00Z,OPEN,110618.98,3.3
4313,PO-104313,90,APAC,2021-03-06T00:00:00Z,OPEN,236292.51,3.7
4314,PO-104314,808,NA,2025-10-21T00:00:00Z,APPROVED,37821.16,3.6
4315,PO-104315,463,LATAM,2025-05-16T00:00:00Z,OPEN,32034.06,3.7
4316,PO-104316,981,NA,2025-07-15T00:00:00Z,OPEN,2931.93,3.8
4317,PO-104317,352,NA,2023-01-31T00:00:00Z,OPEN,37595.32,4.6
4318,PO-104318,159,NA,2021-06-07T00:00:00Z,CLOSED,231547.89,2.8
4319,PO-104319,387,APAC,2024-08-30T00:00:00Z,CLOSED,25686.27,3.2
4320,PO-104320,432,NA,2021-03-09T00:00:00Z,CLOSED,247193,4.8
4321,PO-104321,127,EMEA,2021-11-27T00:00:00Z,CLOSED,230464.57,3.5
4322,PO-104322,540,APAC,2022-12-18T00:00:00Z,OPEN,217913.52,3.8
4323,PO-104323,743,NA,2021-10-06T00:00:00Z,APPROVED,122486.78,4.5
4324,PO-104324,774,APAC,2024-03-27T00:00:00Z,CLOSED,111567.91,2.8
4325,PO-104325,247,NA,2025-10-03T00:00:00Z,OPEN,233206.61,4.7
4326,PO-104326,86,NA,2024-06-29T00:00:00Z,OPEN,189644.05,4.2
4327,PO-104327,467,NA,2025-02-23T00:00:00Z,APPROVED,31173.41,4.4
4328,PO-104328,525,NA,2023-07-01T00:00:00Z,OPEN,172468.22,3.5
4329,PO-104329,64,NA,2022-09-09T00:00:00Z,CANCELLED,219045.43,4
4330,PO-104330,357,NA,2021-09-27T00:00:00Z,OPEN,120055.63,3.1
