mention_id,post_id,product_id,confidence_score,mention_type,created_at
22221,22221,223,0.733,semantic,2026-09-17T13:44:08Z
22222,22222,283,0.935,hashtag,2026-09-17T13:44:08Z
22223,22223,388,0.775,visual,2026-09-17T13:44:08Z
22224,22226,314,0.711,semantic,2026-09-17T13:44:08Z
22225,22227,321,0.899,hashtag,2026-09-17T13:44:08Z
22226,22228,380,0.712,visual,2026-09-17T13:44:08Z
22227,22229,313,0.752,inferred,2026-09-17T13:44:08Z
22228,22230,364,0.91,direct,2026-09-17T13:44:08Z
22229,22231,382,0.715,semantic,2026-09-17T13:44:08Z
22230,22232,359,0.721,hashtag,2026-09-17T13:44:08Z
22231,22233,321,0.845,visual,2026-09-17T13:44:08Z
22232,22235,283,0.824,direct,2026-09-17T13:44:08Z
22233,22237,242,0.866,hashtag,2026-09-17T13:44:08Z
22234,22238,358,0.989,visual,2026-09-17T13:44:08Z
22235,22239,266,0.785,inferred,2026-09-17T13:44:08Z
22236,22240,264,0.834,direct,2026-09-17T13:44:08Z
22237,22241,355,0.794,semantic,2026-09-17T13:44:08Z
22238,22242,281,0.918,hashtag,2026-09-17T13:44:08Z
22239,22245,327,0.954,direct,2026-09-17T13:44:08Z
22240,22246,347,0.705,semantic,2026-09-17T13:44:08Z
22241,22247,223,0.71,hashtag,2026-09-17T13:44:08Z
22242,22248,300,0.792,visual,2026-09-17T13:44:08Z
22243,22250,357,0.707,direct,2026-09-17T13:44:08Z
22244,22251,269,0.719,semantic,2026-09-17T13:44:08Z
22245,22253,369,0.991,visual,2026-09-17T13:44:08Z
22246,22256,295,0.731,semantic,2026-09-17T13:44:08Z
22247,22257,247,0.839,hashtag,2026-09-17T13:44:08Z
22248,22258,286,0.831,visual,2026-09-17T13:44:08Z
22249,22260,333,0.762,direct,2026-09-17T13:44:08Z
22250,22265,287,0.868,direct,2026-09-17T13:44:08Z
22251,22268,366,0.818,visual,2026-09-17T13:44:08Z
22252,22270,260,0.877,direct,2026-09-17T13:44:08Z
22253,22271,285,0.836,semantic,2026-09-17T13:44:08Z
22254,22272,305,0.889,hashtag,2026-09-17T13:44:08Z
22255,22274,257,0.718,inferred,2026-09-17T13:44:08Z
22256,22275,311,0.789,direct,2026-09-17T13:44:08Z
22257,22276,372,0.947,semantic,2026-09-17T13:44:08Z
22258,22277,249,0.994,hashtag,2026-09-17T13:44:08Z
22259,22278,404,0.797,visual,2026-09-17T13:44:08Z
22260,22280,356,0.753,direct,2026-09-17T13:44:08Z
22261,22281,256,0.946,semantic,2026-09-17T13:44:08Z
22262,22282,264,0.985,hashtag,2026-09-17T13:44:08Z
22263,22283,295,0.712,visual,2026-09-17T13:44:08Z
22264,22286,244,0.975,semantic,2026-09-17T13:44:08Z
22265,22287,269,0.856,hashtag,2026-09-17T13:44:08Z
22266,22290,356,0.965,direct,2026-09-17T13:44:08Z
22267,22291,332,0.876,semantic,2026-09-17T13:44:08Z
22268,22292,345,0.962,hashtag,2026-09-17T13:44:08Z
22269,22293,273,0.848,visual,2026-09-17T13:44:08Z
22270,22294,393,0.909,inferred,2026-09-17T13:44:08Z
22271,22295,365,0.72,direct,2026-09-17T13:44:08Z
22272,22296,316,0.958,semantic,2026-09-17T13:44:08Z
22273,22298,228,0.884,visual,2026-09-17T13:44:08Z
22274,22299,366,0.821,inferred,2026-09-17T13:44:08Z
22275,22300,401,0.712,direct,2026-09-17T13:44:08Z
22276,22302,399,0.965,hashtag,2026-09-17T13:44:08Z
22277,22303,386,0.879,visual,2026-09-17T13:44:08Z
22278,22304,314,0.826,inferred,2026-09-17T13:44:08Z
22279,22305,222,0.896,direct,2026-09-17T13:44:08Z
22280,22307,237,0.963,hashtag,2026-09-17T13:44:08Z
22281,22308,405,0.717,visual,2026-09-17T13:44:08Z
22282,22309,263,0.952,inferred,2026-09-17T13:44:08Z
22283,22310,247,0.861,direct,2026-09-17T13:44:08Z
22284,22311,262,0.905,semantic,2026-09-17T13:44:08Z
22285,22312,310,0.738,hashtag,2026-09-17T13:44:08Z
22286,22314,404,0.712,inferred,2026-09-17T13:44:08Z
22287,22315,248,0.81,direct,2026-09-17T13:44:08Z
22288,22317,355,0.81,hashtag,2026-09-17T13:44:08Z
22289,22318,246,0.708,visual,2026-09-17T13:44:08Z
22290,22319,234,0.725,inferred,2026-09-17T13:44:08Z
22291,22320,255,0.892,direct,2026-09-17T13:44:08Z
22292,22321,356,0.833,semantic,2026-09-17T13:44:08Z
22293,22322,375,0.864,hashtag,2026-09-17T13:44:08Z
22294,22323,242,0.999,visual,2026-09-17T13:44:08Z
22295,22324,229,0.967,inferred,2026-09-17T13:44:08Z
22296,22325,234,0.784,direct,2026-09-17T13:44:08Z
22297,22326,314,0.934,semantic,2026-09-17T13:44:08Z
22298,22327,329,0.813,hashtag,2026-09-17T13:44:08Z
22299,22328,400,0.737,visual,2026-09-17T13:44:08Z
22300,22329,374,0.815,inferred,2026-09-17T13:44:08Z
22301,22331,223,0.903,semantic,2026-09-17T13:44:08Z
22302,22332,307,0.947,hashtag,2026-09-17T13:44:08Z
22303,22333,407,0.927,visual,2026-09-17T13:44:08Z
22304,22334,234,0.803,inferred,2026-09-17T13:44:08Z
22305,22335,293,0.724,direct,2026-09-17T13:44:08Z
22306,22337,315,0.976,hashtag,2026-09-17T13:44:08Z
22307,22338,377,0.976,visual,2026-09-17T13:44:08Z
22308,22340,249,0.924,direct,2026-09-17T13:44:08Z
22309,22341,221,0.822,semantic,2026-09-17T13:44:08Z
22310,22342,260,0.84,hashtag,2026-09-17T13:44:08Z
22311,22343,237,0.934,visual,2026-09-17T13:44:08Z
22312,22344,375,0.867,inferred,2026-09-17T13:44:08Z
22313,22346,252,0.909,semantic,2026-09-17T13:44:08Z
22314,22347,379,0.899,hashtag,2026-09-17T13:44:08Z
22315,22348,358,0.838,visual,2026-09-17T13:44:08Z
22316,22350,327,0.763,direct,2026-09-17T13:44:08Z
22317,22353,290,0.706,visual,2026-09-17T13:44:08Z
22318,22354,314,0.885,inferred,2026-09-17T13:44:08Z
22319,22355,224,0.889,direct,2026-09-17T13:44:08Z
22320,22356,266,0.742,semantic,2026-09-17T13:44:08Z
22321,22357,265,0.92,hashtag,2026-09-17T13:44:08Z
22322,22358,312,0.92,visual,2026-09-17T13:44:08Z
22323,22359,312,0.944,inferred,2026-09-17T13:44:08Z
22324,22360,360,0.803,direct,2026-09-17T13:44:08Z
22325,22361,318,0.85,semantic,2026-09-17T13:44:08Z
22326,22362,248,0.78,hashtag,2026-09-17T13:44:08Z
22327,22365,308,0.86,direct,2026-09-17T13:44:08Z
22328,22366,327,0.717,semantic,2026-09-17T13:44:08Z
22329,22369,252,0.772,inferred,2026-09-17T13:44:08Z
22330,22370,335,0.732,direct,2026-09-17T13:44:08Z
22331,22374,370,0.873,inferred,2026-09-17T13:44:08Z
22332,22375,239,0.95,direct,2026-09-17T13:44:08Z
22333,22376,271,0.72,semantic,2026-09-17T13:44:08Z
22334,22378,285,0.771,visual,2026-09-17T13:44:08Z
22335,22379,396,0.761,inferred,2026-09-17T13:44:08Z
22336,22380,247,0.897,direct,2026-09-17T13:44:08Z
22337,22381,361,0.745,semantic,2026-09-17T13:44:08Z
22338,22383,271,0.98,visual,2026-09-17T13:44:08Z
22339,22384,335,0.835,inferred,2026-09-17T13:44:08Z
22340,22385,295,0.739,direct,2026-09-17T13:44:08Z
22341,22387,366,0.926,hashtag,2026-09-17T13:44:08Z
22342,22388,364,0.75,visual,2026-09-17T13:44:08Z
22343,22389,242,0.866,inferred,2026-09-17T13:44:08Z
22344,22390,327,0.987,direct,2026-09-17T13:44:08Z
22345,22393,266,0.919,visual,2026-09-17T13:44:08Z
22346,22394,334,0.854,inferred,2026-09-17T13:44:08Z
22347,22395,343,0.909,direct,2026-09-17T13:44:08Z
22348,22396,377,0.9,semantic,2026-09-17T13:44:08Z
22349,22398,348,0.903,visual,2026-09-17T13:44:08Z
22350,22399,306,0.923,inferred,2026-09-17T13:44:08Z
22351,22403,359,0.713,visual,2026-09-17T13:44:08Z
22352,22404,396,0.743,inferred,2026-09-17T13:44:08Z
22353,22405,241,0.85,direct,2026-09-17T13:44:08Z
22354,22406,224,0.8,semantic,2026-09-17T13:44:08Z
22355,22407,266,0.702,hashtag,2026-09-17T13:44:08Z
22356,22409,347,0.941,inferred,2026-09-17T13:44:08Z
22357,22411,371,0.91,semantic,2026-09-17T13:44:08Z
22358,22412,375,0.987,hashtag,2026-09-17T13:44:08Z
22359,22413,274,0.782,visual,2026-09-17T13:44:08Z
22360,22417,309,0.999,hashtag,2026-09-17T13:44:08Z
22361,22418,320,0.969,visual,2026-09-17T13:44:08Z
22362,22419,228,0.755,inferred,2026-09-17T13:44:08Z
22363,22420,302,0.971,direct,2026-09-17T13:44:08Z
22364,22422,311,0.921,hashtag,2026-09-17T13:44:08Z
22365,22423,222,0.985,visual,2026-09-17T13:44:08Z
22366,22424,377,0.791,inferred,2026-09-17T13:44:08Z
22367,22426,257,0.936,semantic,2026-09-17T13:44:08Z
22368,22428,294,0.77,visual,2026-09-17T13:44:08Z
22369,22429,257,0.78,inferred,2026-09-17T13:44:08Z
22370,22430,399,0.984,direct,2026-09-17T13:44:08Z
22371,22431,308,0.719,semantic,2026-09-17T13:44:08Z
22372,22432,287,0.895,hashtag,2026-09-17T13:44:08Z
22373,22433,303,0.977,visual,2026-09-17T13:44:08Z
22374,22436,235,0.744,semantic,2026-09-17T13:44:08Z
22375,22440,268,0.729,direct,2026-09-17T13:44:08Z
22376,22442,348,0.738,hashtag,2026-09-17T13:44:08Z
22377,22443,391,0.834,visual,2026-09-17T13:44:08Z
22378,22444,277,0.776,inferred,2026-09-17T13:44:08Z
22379,22445,324,0.804,direct,2026-09-17T13:44:08Z
22380,22447,285,0.794,hashtag,2026-09-17T13:44:08Z
22381,22449,405,0.835,inferred,2026-09-17T13:44:08Z
22382,22451,363,0.891,semantic,2026-09-17T13:44:08Z
22383,22452,339,0.718,hashtag,2026-09-17T13:44:08Z
22384,22453,327,0.737,visual,2026-09-17T13:44:08Z
22385,22454,237,0.767,inferred,2026-09-17T13:44:08Z
22386,22456,273,0.99,semantic,2026-09-17T13:44:08Z
22387,22457,237,0.965,hashtag,2026-09-17T13:44:08Z
22388,22458,246,0.825,visual,2026-09-17T13:44:08Z
22389,22459,244,0.903,inferred,2026-09-17T13:44:08Z
22390,22462,342,1,hashtag,2026-09-17T13:44:08Z
22391,22463,315,0.789,visual,2026-09-17T13:44:08Z
22392,22464,285,0.713,inferred,2026-09-17T13:44:08Z
22393,22465,251,0.74,direct,2026-09-17T13:44:08Z
22394,22466,365,0.873,semantic,2026-09-17T13:44:08Z
22395,22467,266,0.859,hashtag,2026-09-17T13:44:08Z
