influencer_id,handle,display_name,platform,follower_count,engagement_rate,influence_score,niche,city,region,country,is_verified,created_at
2221,@sec_updates_01,Channel Intelligence Stream - Brand Standards 01,instagram,29787,0.0419,71.62,Brand Standards,New York,New York,US,0,2026-09-17T13:44:07Z
2222,@brandqa_watch_01,Brand QA Monitoring Feed 01,tiktok,40474,0.0457,78.45,Brand QA,Los Angeles,California,US,0,2026-09-17T13:44:07Z
2223,@brand_standard_bulletin_01,Channel Intelligence Stream - Property Safety 01,twitter,289825,0.0381,84.35,Property Safety,Chicago,Illinois,US,0,2026-09-17T13:44:07Z
2224,@occupancy_watch_01,Channel Intelligence Stream - Operations Control 01,youtube,4845,0.0496,69.43,Operations Control,Houston,Texas,US,0,2026-09-17T13:44:07Z
2225,@fed_rateairport-transfer_01,Channel Intelligence Stream - Demand Forecast 01,threads,8767,0.0365,62.32,Demand Forecast,Phoenix,Arizona,US,0,2026-09-17T13:44:07Z
2226,@revenue_pulse_01,guest Revenue Impact Engine - Revenue 01,instagram,8757,0.0618,73.6,Rate Plans,San Francisco,California,US,0,2026-09-17T13:44:07Z
2227,@group booking_signal_01,guest Revenue Impact Engine - Group Booking 01,tiktok,82123,0.0767,100,Revenue Operations Risk,Miami,Florida,US,0,2026-09-17T13:44:07Z
2228,@luxury guestdesk_01,guest Revenue Impact Engine - Luxury Guest 01,twitter,48455,0.0488,74.64,Group Sales,Seattle,Washington,US,0,2026-09-17T13:44:07Z
2229,@payments_ops_01,Demand Activity Monitor - Payments 01,youtube,9410,0.0775,79.81,Luxury Guest Management,Denver,Colorado,US,0,2026-09-17T13:44:07Z
2230,@guest_safety_watch_01,OTA Surveillance Engine 01,threads,5314,0.0358,60.18,Cards,Austin,Texas,US,0,2026-09-17T13:44:07Z
2231,@guest_identity_queue_01,OTA Surveillance Engine - Guest Identity 01,instagram,1884,0.0335,59.83,Payments,Nashville,Tennessee,US,0,2026-09-17T13:44:07Z
2232,@service recovery_alerts_01,Service Recovery Detection Pipeline 01,tiktok,2955,0.0311,61.13,OTA,Portland,Oregon,US,0,2026-09-17T13:44:07Z
2233,@availability_monitor_01,Availability Operations Risk Monitor 01,twitter,62427,0.072,95.97,Guest Identity,Boston,Massachusetts,US,0,2026-09-17T13:44:07Z
2234,@demand_rules_01,Demand Activity Monitor - Demand 01,youtube,6305,0.1018,98.65,Service Recovery Operations,Atlanta,Georgia,US,0,2026-09-17T13:44:07Z
2235,@revenue operations_daily_01,Revenue Operations Brand Standard Feed 01,threads,6623,0.0607,75.6,Availability Operations Risk,Dallas,Texas,US,0,2026-09-17T13:44:07Z
2236,@property_ops_01,guest Revenue Impact Engine - Property 01,instagram,21942,0.0745,96.91,Demand Management,San Diego,California,US,0,2026-09-17T13:44:07Z
2237,@guestexp_signal_01,Guest Revenue Impact Engine - Guest Experience 01,tiktok,1845,0.088,83.27,Revenue Operations,Minneapolis,Minnesota,US,0,2026-09-17T13:44:07Z
2238,@property property_watch_01,Demand Activity Monitor - Property Portfolio 01,twitter,9976,0.0765,85.02,Property Operations,Detroit,Michigan,US,0,2026-09-17T13:44:07Z
2239,@booking deposit_trends_01,guest Revenue Impact Engine - Booking Deposits 01,youtube,9123,0.0362,71.62,Guest Experience Desk,Las Vegas,Nevada,US,0,2026-09-17T13:44:07Z
2240,@group booking_servicing_01,guest Revenue Impact Engine - Lending 01,threads,9026,0.0951,93.79,Property Portfolio Strategy,Brooklyn,New York,US,0,2026-09-17T13:44:07Z
2241,@sec_updates_02,Channel Intelligence Stream - Brand Standards 02,instagram,3774,0.0615,80.61,Brand Standards,New York,New York,US,0,2026-09-17T13:44:07Z
2242,@brandqa_watch_02,Brand QA Monitoring Feed 02,tiktok,83369,0.0622,90.24,Brand QA,Los Angeles,California,US,0,2026-09-17T13:44:07Z
2243,@brand_standard_bulletin_02,Channel Intelligence Stream - Property Safety 02,twitter,85062,0.0573,85.12,Property Safety,Chicago,Illinois,US,0,2026-09-17T13:44:07Z
2244,@occupancy_watch_02,Channel Intelligence Stream - Operations Control 02,youtube,9133,0.0775,85.5,Operations Control,Houston,Texas,US,0,2026-09-17T13:44:07Z
2245,@fed_rateairport-transfer_02,Channel Intelligence Stream - Demand Forecast 02,threads,26237,0.0264,68.42,Demand Forecast,Phoenix,Arizona,US,0,2026-09-17T13:44:07Z
2246,@revenue_pulse_02,guest Revenue Impact Engine - Revenue 02,instagram,17305,0.0471,82.26,Rate Plans,San Francisco,California,US,0,2026-09-17T13:44:07Z
2247,@group booking_signal_02,guest Revenue Impact Engine - Group Booking 02,tiktok,8926,0.1031,94.94,Revenue Operations Risk,Miami,Florida,US,0,2026-09-17T13:44:07Z
2248,@luxury guestdesk_02,guest Revenue Impact Engine - Luxury Guest 02,twitter,37898,0.0655,90.3,Group Sales,Seattle,Washington,US,0,2026-09-17T13:44:07Z
2249,@payments_ops_02,Demand Activity Monitor - Payments 02,youtube,4482,0.1016,91.6,Luxury Guest Management,Denver,Colorado,US,0,2026-09-17T13:44:07Z
2250,@guest_safety_watch_02,OTA Surveillance Engine 02,threads,63731,0.0519,81.88,Cards,Austin,Texas,US,0,2026-09-17T13:44:07Z
2251,@guest_identity_queue_02,OTA Surveillance Engine - Guest Identity 02,instagram,536083,0.0277,88.26,Payments,Nashville,Tennessee,US,1,2026-09-17T13:44:07Z
2252,@service recovery_alerts_02,Service Recovery Detection Pipeline 02,tiktok,8576,0.1177,100,OTA,Portland,Oregon,US,0,2026-09-17T13:44:07Z
2253,@availability_monitor_02,Availability Operations Risk Monitor 02,twitter,7341,0.0926,89.01,Guest Identity,Boston,Massachusetts,US,0,2026-09-17T13:44:07Z
