influencer_id,handle,display_name,platform,follower_count,engagement_rate,influence_score,niche,city,region,country,is_verified,created_at
1,@plant_mike,Plant Mike,instagram,49125,0.0424,79.74,Industrial Automation,New York,New York,US,0,2026-06-29T21:44:57Z
2,@plant_jen,Plant Jen,tiktok,169703,0.0351,72.96,Electronics Manufacturing,Los Angeles,California,US,0,2026-06-29T21:44:57Z
3,@plant_alex,Plant Alex,twitter,3576487,0.0054,74.6,Metal Fabrication,Chicago,Illinois,US,1,2026-06-29T21:44:57Z
4,@plant_zoe,Plant Zoe,youtube,3831,0.0819,88.3,CNC Machining,Houston,Texas,US,0,2026-06-29T21:44:57Z
5,@plant_marcus,Plant Marcus,threads,108002,0.0205,70.11,Injection Molding,Phoenix,Arizona,US,0,2026-06-29T21:44:57Z
6,@plant_lily,Plant Lily,instagram,4253,0.042,63.64,Robotics,San Francisco,California,US,0,2026-06-29T21:44:57Z
7,@plant_kai,Plant Kai,tiktok,18583,0.0573,75.65,Quality Assurance,Miami,Florida,US,0,2026-06-29T21:44:57Z
8,@plant_maya,Plant Maya,twitter,4514236,0.0138,87.9,MRO Supply,Seattle,Washington,US,1,2026-06-29T21:44:57Z
9,@plant_tyler,Plant Tyler,youtube,4931,0.0952,86.71,Industrial IoT,Denver,Colorado,US,0,2026-06-29T21:44:57Z
10,@plant_ava,Plant Ava,threads,4058,0.1105,95.06,Packaging Materials,Austin,Texas,US,0,2026-06-29T21:44:57Z
11,@line_jen,Line Jen,instagram,320801,0.0428,93.7,Production Planning,Nashville,Tennessee,US,0,2026-06-29T21:44:57Z
12,@line_zoe,Line Zoe,tiktok,14956499,0.0163,93.12,Supplier Quality,Portland,Oregon,US,1,2026-06-29T21:44:57Z
13,@line_lily,Line Lily,twitter,21158,0.0674,81.64,Maintenance Reliability,Boston,Massachusetts,US,0,2026-06-29T21:44:57Z
14,@line_maya,Line Maya,youtube,64944,0.0399,82.34,Plant Logistics,Atlanta,Georgia,US,0,2026-06-29T21:44:57Z
15,@line_ava,Line Ava,threads,2034,0.1126,93.69,Aftermarket Parts,Dallas,Texas,US,0,2026-06-29T21:44:57Z
16,@line_nina,Line Nina,instagram,6214,0.1167,100,Industrial Automation,San Diego,California,US,0,2026-06-29T21:44:57Z
17,@line_ella,Line Ella,tiktok,22682,0.0571,85,Electronics Manufacturing,Minneapolis,Minnesota,US,0,2026-06-29T21:44:57Z
18,@line_aria,Line Aria,twitter,8966,0.0373,74.06,Metal Fabrication,Detroit,Michigan,US,0,2026-06-29T21:44:57Z
19,@line_luna,Line Luna,youtube,2476,0.0612,66.14,CNC Machining,Las Vegas,Nevada,US,0,2026-06-29T21:44:57Z
20,@line_mia,Line Mia,threads,1272,0.115,100,Injection Molding,Brooklyn,New York,US,0,2026-06-29T21:44:57Z
21,@tooling_alex,Tooling Alex,instagram,783004,0.0351,89.05,Robotics,New York,New York,US,1,2026-06-29T21:44:57Z
22,@tooling_lily,Tooling Lily,tiktok,7690,0.0689,78.16,Quality Assurance,Los Angeles,California,US,0,2026-06-29T21:44:57Z
23,@tooling_tyler,Tooling Tyler,twitter,6816,0.0967,94.92,MRO Supply,Chicago,Illinois,US,0,2026-06-29T21:44:57Z
24,@tooling_nina,Tooling Nina,youtube,4073,0.052,66.74,Industrial IoT,Houston,Texas,US,0,2026-06-29T21:44:57Z
25,@tooling_finn,Tooling Finn,threads,4031,0.0556,73.45,Packaging Materials,Phoenix,Arizona,US,0,2026-06-29T21:44:57Z
26,@tooling_luna,Tooling Luna,instagram,67773,0.0762,100,Production Planning,San Francisco,California,US,0,2026-06-29T21:44:57Z
27,@tooling_noah,Tooling Noah,tiktok,5314,0.0684,76.85,Supplier Quality,Miami,Florida,US,0,2026-06-29T21:44:57Z
28,@tooling_ruby,Tooling Ruby,twitter,3220,0.0371,67.52,Maintenance Reliability,Seattle,Washington,US,0,2026-06-29T21:44:57Z
29,@tooling_dane,Tooling Dane,youtube,37422,0.0251,64.33,Plant Logistics,Denver,Colorado,US,0,2026-06-29T21:44:57Z
30,@tooling_hope,Tooling Hope,threads,6879,0.0386,72.78,Aftermarket Parts,Austin,Texas,US,0,2026-06-29T21:44:57Z
31,@supplier_zoe,Supplier Zoe,instagram,9355,0.0647,78.52,Industrial Automation,Nashville,Tennessee,US,0,2026-06-29T21:44:57Z
32,@supplier_maya,Supplier Maya,tiktok,24167,0.0319,63.94,Electronics Manufacturing,Portland,Oregon,US,0,2026-06-29T21:44:57Z
33,@supplier_nina,Supplier Nina,twitter,45836,0.0574,82.22,Metal Fabrication,Boston,Massachusetts,US,0,2026-06-29T21:44:57Z
34,@supplier_aria,Supplier Aria,youtube,850964,0.0328,89.29,CNC Machining,Atlanta,Georgia,US,1,2026-06-29T21:44:57Z
35,@supplier_mia,Supplier Mia,threads,73461,0.0417,76.3,Injection Molding,Dallas,Texas,US,0,2026-06-29T21:44:57Z
36,@supplier_ruby,Supplier Ruby,instagram,11686262,0.0119,93.05,Robotics,San Diego,California,US,1,2026-06-29T21:44:57Z
37,@supplier_faye,Supplier Faye,tiktok,7128,0.0679,86.28,Quality Assurance,Minneapolis,Minnesota,US,0,2026-06-29T21:44:57Z
38,@supplier_jace,Supplier Jace,twitter,16689,0.061,76.33,MRO Supply,Detroit,Michigan,US,0,2026-06-29T21:44:57Z
39,@supplier_omar,Supplier Omar,youtube,6391,0.0667,77.57,Industrial IoT,Las Vegas,Nevada,US,0,2026-06-29T21:44:57Z
40,@supplier_tess,Supplier Tess,threads,3160,0.0364,61.98,Packaging Materials,Brooklyn,New York,US,0,2026-06-29T21:44:57Z
41,@quality_marcus,Quality Marcus,instagram,4519,0.1054,100,Production Planning,New York,New York,US,0,2026-06-29T21:44:57Z
42,@quality_ava,Quality Ava,tiktok,580023,0.0444,90.96,Supplier Quality,Los Angeles,California,US,1,2026-06-29T21:44:57Z
43,@quality_finn,Quality Finn,twitter,316733,0.0448,88.65,Maintenance Reliability,Chicago,Illinois,US,0,2026-06-29T21:44:57Z
44,@quality_mia,Quality Mia,youtube,8380,0.061,83.83,Plant Logistics,Houston,Texas,US,0,2026-06-29T21:44:57Z
45,@quality_max,Quality Max,threads,14911,0.0549,81.97,Aftermarket Parts,Phoenix,Arizona,US,0,2026-06-29T21:44:57Z
46,@quality_hope,Quality Hope,instagram,6839047,0.0106,79,Industrial Automation,San Francisco,California,US,1,2026-06-29T21:44:57Z
47,@quality_nora,Quality Nora,tiktok,33290,0.065,91.6,Electronics Manufacturing,Miami,Florida,US,0,2026-06-29T21:44:57Z
