work_order_line_id,work_order_id,manufactured_part_id,requested_units,planned_unit_value,assigned_plant_id
1,1,1,1,1280,1
2,2,7,1,1460,4
3,3,8,1,210,5
4,4,20,1,620,6
5,5,24,1,260,3
6,6,17,2,8900,3
7,6,20,1,620,3
8,6,30,3,46,3
9,6,13,3,980,3
10,7,1,3,1280,8
11,8,20,1,620,6
12,9,23,1,98,6
13,10,28,2,390,12
14,10,1,2,1280,12
15,11,3,3,740,9
16,11,9,2,390,9
17,12,8,1,210,11
18,12,20,3,620,11
19,12,23,3,98,11
20,13,26,2,340,
21,13,24,2,260,
22,13,2,2,18400,
23,13,30,3,46,
24,14,21,1,110,2
25,14,15,2,360,2
26,15,29,2,580,9
27,15,2,2,18400,9
28,15,6,2,145,9
29,16,20,3,620,3
30,16,12,3,185,3
31,16,14,2,1250,3
32,17,31,1,88,4
33,17,31,2,88,4
34,17,16,3,5200,4
35,18,9,1,390,1
36,18,6,2,145,1
37,18,18,3,430,1
38,18,16,1,5200,1
39,19,20,1,620,5
40,20,31,2,88,1
41,20,24,1,260,1
42,21,12,1,185,
43,21,8,3,210,
44,21,24,1,260,
45,21,20,3,620,
46,21,20,3,620,
47,22,22,1,132,4
48,22,8,3,210,4
49,22,31,1,88,4
50,23,10,1,275,2
51,24,15,2,360,2
52,24,8,3,210,2
53,25,31,1,88,9
54,25,9,3,390,9
55,25,27,2,720,9
56,26,6,2,145,11
57,26,16,2,5200,11
58,26,11,1,520,11
59,26,10,2,275,11
60,27,5,1,680,8
61,27,10,1,275,8
62,27,11,2,520,8
63,28,22,1,132,1
64,28,20,3,620,1
65,29,27,3,720,
66,30,8,2,210,8
67,31,1,1,1280,6
68,31,18,1,430,6
69,32,3,1,740,6
70,32,7,3,1460,6
71,32,3,3,740,6
72,33,13,1,980,6
73,33,31,2,88,6
74,33,14,3,1250,6
75,34,21,3,110,3
76,34,8,2,210,3
77,34,16,3,5200,3
78,35,23,2,98,3
79,35,16,2,5200,3
80,35,11,2,520,3
81,36,20,1,620,6
82,36,24,1,260,6
83,36,29,1,580,6
84,36,30,3,46,6
85,36,8,2,210,6
86,37,6,1,145,
87,38,4,2,92,4
88,38,30,1,46,4
89,38,20,3,620,4
90,39,12,1,185,1
91,39,1,2,1280,1
92,39,18,3,430,1
93,39,4,1,92,1
94,40,17,1,8900,1
95,40,29,3,580,1
96,40,28,3,390,1
97,40,16,1,5200,1
98,40,24,2,260,1
99,41,4,2,92,8
100,41,16,1,5200,8
101,41,6,2,145,8
102,41,21,3,110,8
103,42,4,2,92,11
104,42,20,3,620,11
105,42,22,2,132,11
106,42,27,3,720,11
107,43,18,3,430,2
108,43,1,1,1280,2
109,43,17,1,8900,2
110,43,16,1,5200,2
111,43,17,3,8900,2
112,44,19,2,74,2
113,44,4,3,92,2
114,44,25,2,475,2
115,44,5,2,680,2
116,44,14,2,1250,2
117,45,27,1,720,
118,45,27,1,720,
119,45,21,2,110,
120,46,9,1,390,2
121,46,7,3,1460,2
122,46,18,3,430,2
123,46,17,3,8900,2
124,46,12,3,185,2
125,47,24,1,260,2
126,48,21,2,110,8
127,48,26,3,340,8
128,49,10,1,275,2
129,50,13,2,980,4
130,50,28,2,390,4
131,50,31,2,88,4
132,50,11,1,520,4
133,51,24,1,260,9
134,51,24,2,260,9
135,51,28,1,390,9
136,51,30,2,46,9
137,52,24,1,260,5
138,53,23,1,98,
139,53,15,3,360,
140,54,30,1,46,6
141,54,10,1,275,6
142,54,28,1,390,6
143,54,3,1,740,6
144,54,19,2,74,6
145,55,13,1,980,6
146,55,29,2,580,6
147,55,20,1,620,6
148,55,8,2,210,6
149,56,20,2,620,4
150,57,2,1,18400,6
151,57,29,1,580,6
152,57,21,1,110,6
153,58,23,1,98,12
154,58,10,2,275,12
155,58,11,3,520,12
156,58,21,3,110,12
157,59,9,2,390,4
158,59,25,2,475,4
159,59,29,3,580,4
160,60,11,2,520,3
161,60,28,3,390,3
162,60,9,1,390,3
163,60,20,2,620,3
164,60,9,1,390,3
165,61,2,3,18400,
166,61,19,2,74,
167,61,29,3,580,
168,61,1,2,1280,
169,62,23,2,98,2
170,63,18,3,430,8
171,63,22,3,132,8
172,63,27,3,720,8
173,64,14,3,1250,2
174,64,1,2,1280,2
175,65,6,2,145,6
176,65,3,1,740,6
177,65,17,2,8900,6
178,65,5,3,680,6
179,65,24,3,260,6
180,66,27,3,720,4
181,66,13,1,980,4
182,66,29,2,580,4
183,66,16,2,5200,4
184,67,27,1,720,11
185,67,15,3,360,11
186,67,28,2,390,11
187,67,7,3,1460,11
188,67,3,1,740,11
189,68,28,3,390,6
190,68,27,1,720,6
191,69,7,3,1460,
192,69,13,2,980,
193,70,17,3,8900,5
194,70,11,2,520,5
195,70,18,2,430,5
196,71,3,1,740,4
197,71,15,3,360,4
198,71,15,1,360,4
199,71,5,2,680,4
200,71,30,3,46,4
201,72,10,1,275,5
202,72,19,2,74,5
203,72,26,1,340,5
204,72,12,3,185,5
205,72,19,1,74,5
206,73,9,3,390,7
207,73,16,3,5200,7
208,73,10,2,275,7
209,74,15,1,360,8
210,74,2,3,18400,8
211,74,22,2,132,8
212,74,2,1,18400,8
213,74,17,2,8900,8
214,75,10,3,275,3
215,75,27,1,720,3
216,75,15,1,360,3
217,75,15,2,360,3
218,76,14,3,1250,8
219,76,8,1,210,8
220,76,29,2,580,8
221,77,18,2,430,
222,77,31,3,88,
223,78,6,1,145,3
224,78,30,2,46,3
225,79,19,1,74,11
226,79,26,1,340,11
227,79,23,2,98,11
228,79,19,2,74,11
229,79,15,1,360,11
230,80,13,1,980,3
231,81,31,3,88,7
232,81,7,2,1460,7
233,81,20,3,620,7
234,81,9,1,390,7
235,82,10,1,275,5
236,83,15,3,360,4
237,84,29,3,580,11
238,84,29,1,580,11
239,85,19,1,74,
240,85,29,2,580,
241,85,2,2,18400,
242,86,20,2,620,8
243,86,25,2,475,8
244,86,8,3,210,8
245,86,6,2,145,8
246,87,16,1,5200,8
247,88,24,2,260,4
248,88,15,2,360,4
249,88,20,2,620,4
250,88,29,2,580,4
251,89,7,2,1460,12
252,90,10,1,275,3
253,90,22,2,132,3
254,90,20,1,620,3
255,90,21,3,110,3
256,91,3,3,740,6
257,91,4,3,92,6
258,92,13,1,980,3
259,92,17,1,8900,3
260,92,31,3,88,3
261,92,18,1,430,3
262,93,9,2,390,
263,93,30,3,46,
264,93,13,2,980,
265,94,28,1,390,1
266,95,24,1,260,8
267,95,20,2,620,8
268,95,29,1,580,8
269,95,3,1,740,8
270,96,13,1,980,2
271,96,27,2,720,2
272,97,13,2,980,1
273,97,2,3,18400,1
274,97,19,2,74,1
275,97,10,2,275,1
276,97,20,1,620,1
277,98,10,1,275,5
278,99,3,3,740,10
279,99,28,1,390,10
280,99,13,1,980,10
281,99,12,1,185,10
282,100,14,2,1250,5
283,100,15,3,360,5
284,100,28,3,390,5
285,100,5,2,680,5
286,101,27,3,720,
287,101,10,3,275,
288,102,7,1,1460,12
289,102,29,2,580,12
290,103,17,3,8900,6
291,104,15,1,360,6
292,104,30,3,46,6
293,104,5,3,680,6
294,104,9,1,390,6
295,105,29,2,580,9
296,105,16,2,5200,9
297,105,20,3,620,9
298,105,21,1,110,9
299,106,17,1,8900,2
300,106,22,2,132,2
301,106,22,2,132,2
302,106,23,3,98,2
303,107,5,2,680,5
304,107,19,2,74,5
305,108,10,2,275,5
306,108,13,1,980,5
307,109,4,2,92,
308,109,21,2,110,
309,109,10,3,275,
310,110,31,1,88,5
311,110,4,1,92,5
312,110,21,1,110,5
313,110,18,1,430,5
314,111,16,1,5200,5
315,112,14,3,1250,8
316,113,10,3,275,8
317,113,6,1,145,8
318,114,5,3,680,6
319,114,25,3,475,6
320,114,1,2,1280,6
321,115,12,2,185,4
322,115,14,2,1250,4
323,115,22,3,132,4
324,115,27,1,720,4
325,116,18,1,430,11
326,116,6,2,145,11
327,116,27,3,720,11
328,117,2,1,18400,
329,117,4,2,92,
330,117,4,2,92,
331,117,30,1,46,
332,118,31,1,88,11
333,118,16,2,5200,11
334,119,2,1,18400,3
335,119,3,1,740,3
336,120,7,1,1460,11
337,120,2,3,18400,11
338,120,15,2,360,11
339,120,8,2,210,11
340,121,5,1,680,2
341,121,21,1,110,2
342,121,9,1,390,2
343,121,29,2,580,2
344,122,21,3,110,3
345,122,10,2,275,3
346,122,2,3,18400,3
347,122,24,3,260,3
348,122,17,1,8900,3
349,123,3,3,740,9
350,123,24,2,260,9
351,123,18,1,430,9
352,123,20,3,620,9
353,123,15,2,360,9
354,124,19,2,74,3
355,124,15,3,360,3
356,125,9,3,390,
357,125,1,2,1280,
358,125,14,1,1250,
359,125,2,2,18400,
360,126,5,3,680,9
361,126,4,3,92,9
362,127,12,3,185,12
363,127,7,3,1460,12
364,127,8,2,210,12
365,127,28,3,390,12
366,127,24,1,260,12
367,128,13,1,980,2
368,128,3,3,740,2
369,128,28,1,390,2
370,128,8,1,210,2
371,128,13,1,980,2
372,129,22,3,132,11
373,129,20,2,620,11
374,130,14,2,1250,3
375,130,4,2,92,3
376,130,3,2,740,3
377,130,31,3,88,3
378,130,1,1,1280,3
379,131,24,3,260,10
380,131,6,1,145,10
381,132,5,1,680,4
382,133,23,1,98,
383,134,18,1,430,4
384,134,31,2,88,4
385,134,1,2,1280,4
386,135,3,1,740,3
387,135,25,1,475,3
388,135,27,2,720,3
389,135,15,1,360,3
390,136,4,1,92,3
391,136,18,3,430,3
392,136,9,1,390,3
393,136,18,3,430,3
394,136,24,2,260,3
395,137,10,1,275,9
396,137,15,1,360,9
397,137,26,3,340,9
398,138,28,3,390,5
399,138,28,3,390,5
400,138,14,3,1250,5
401,138,17,3,8900,5
402,139,15,2,360,5
403,140,11,3,520,12
404,140,13,2,980,12
405,141,18,2,430,
406,141,19,1,74,
407,141,10,1,275,
408,141,16,1,5200,
409,142,29,3,580,9
410,142,5,2,680,9
411,142,5,2,680,9
412,143,7,1,1460,12
413,143,1,3,1280,12
414,143,8,1,210,12
415,143,24,3,260,12
416,143,21,3,110,12
417,144,7,1,1460,12
418,144,2,3,18400,12
419,144,3,1,740,12
420,144,15,2,360,12
421,145,25,1,475,3
422,145,4,3,92,3
423,145,14,2,1250,3
424,145,18,1,430,3
425,146,8,2,210,2
426,146,19,1,74,2
427,146,28,1,390,2
428,147,14,1,1250,10
429,147,4,2,92,10
430,147,17,1,8900,10
431,147,28,3,390,10
432,147,20,3,620,10
433,148,20,3,620,10
434,149,6,2,145,
435,149,11,3,520,
436,149,19,2,74,
437,150,2,3,18400,7
438,150,18,2,430,7
439,150,21,2,110,7
440,150,7,1,1460,7
441,151,1,1,1280,4
442,151,16,1,5200,4
443,151,16,2,5200,4
444,151,10,3,275,4
445,152,22,3,132,10
446,153,6,2,145,3
447,154,26,3,340,5
448,154,8,1,210,5
449,154,28,2,390,5
450,154,1,3,1280,5
451,154,20,3,620,5
452,155,6,1,145,3
453,155,24,3,260,3
454,156,23,1,98,8
455,157,31,2,88,
456,158,25,3,475,7
457,158,14,1,1250,7
458,159,19,1,74,4
459,160,29,3,580,1
460,160,9,3,390,1
461,160,22,2,132,1
462,161,9,1,390,7
463,161,20,3,620,7
464,161,11,2,520,7
465,162,19,1,74,9
466,162,24,3,260,9
467,162,28,2,390,9
468,162,23,2,98,9
469,162,10,2,275,9
470,163,23,1,98,8
471,163,19,3,74,8
472,163,17,2,8900,8
473,164,19,1,74,9
474,164,7,2,1460,9
475,164,5,3,680,9
476,164,9,3,390,9
477,165,20,2,620,
478,165,20,1,620,
479,166,13,2,980,2
480,167,1,1,1280,7
481,167,18,1,430,7
482,167,2,3,18400,7
483,167,4,2,92,7
484,167,13,1,980,7
485,168,29,3,580,1
486,168,16,1,5200,1
487,168,18,1,430,1
488,168,14,3,1250,1
489,169,2,2,18400,4
490,169,21,2,110,4
491,169,11,2,520,4
492,169,31,1,88,4
493,170,19,2,74,10
494,171,14,2,1250,3
495,171,5,3,680,3
496,171,7,3,1460,3
497,172,18,3,430,8
498,172,18,2,430,8
499,172,16,1,5200,8
500,173,20,3,620,
501,173,8,1,210,
502,173,8,1,210,
503,174,13,3,980,3
504,174,23,2,98,3
505,174,23,2,98,3
506,174,16,3,5200,3
507,174,28,1,390,3
508,175,26,2,340,12
509,176,15,3,360,9
510,177,19,2,74,4
511,177,30,2,46,4
512,178,19,3,74,10
513,178,16,2,5200,10
514,178,16,1,5200,10
515,179,9,3,390,5
516,179,5,2,680,5
517,179,6,2,145,5
518,180,1,2,1280,5
519,180,9,2,390,5
520,181,7,1,1460,
521,182,8,3,210,7
522,182,11,3,520,7
523,183,14,1,1250,7
524,183,14,1,1250,7
525,183,19,2,74,7
526,183,16,3,5200,7
527,183,19,2,74,7
528,184,2,1,18400,9
529,184,29,3,580,9
530,184,5,2,680,9
531,185,16,3,5200,1
532,185,20,3,620,1
533,185,12,2,185,1
534,186,20,2,620,12
535,186,31,3,88,12
536,186,12,3,185,12
537,186,18,1,430,12
538,187,28,2,390,2
539,187,29,3,580,2
540,187,10,3,275,2
541,187,18,3,430,2
542,187,5,2,680,2
543,188,12,1,185,4
544,188,7,1,1460,4
545,188,7,3,1460,4
546,188,31,2,88,4
547,188,29,1,580,4
548,189,31,1,88,
549,189,7,2,1460,
550,189,21,2,110,
551,190,11,3,520,10
552,190,6,3,145,10
553,190,26,3,340,10
554,191,27,2,720,6
555,191,22,3,132,6
556,191,10,1,275,6
557,191,12,2,185,6
558,192,18,1,430,11
559,192,9,3,390,11
560,192,28,1,390,11
561,192,27,3,720,11
562,192,20,1,620,11
563,193,30,3,46,4
564,193,3,3,740,4
565,193,6,2,145,4
566,193,3,2,740,4
567,194,2,1,18400,5
568,195,31,3,88,1
569,195,23,3,98,1
570,195,12,2,185,1
571,195,4,3,92,1
572,196,18,2,430,3
573,196,4,3,92,3
574,197,16,1,5200,
575,197,19,2,74,
576,197,2,3,18400,
577,198,8,2,210,5
578,199,26,1,340,4
579,199,22,3,132,4
580,199,20,1,620,4
581,199,20,1,620,4
582,200,20,2,620,1
583,200,21,2,110,1
584,201,10,2,275,12
585,201,10,2,275,12
586,201,21,1,110,12
587,201,1,1,1280,12
588,202,29,2,580,10
589,202,27,3,720,10
590,202,28,1,390,10
591,203,19,2,74,7
592,204,18,3,430,8
593,205,30,3,46,
594,205,8,1,210,
595,205,2,2,18400,
596,205,7,1,1460,
597,205,9,3,390,
598,206,7,2,1460,3
599,206,28,3,390,3
600,206,31,2,88,3
601,207,14,3,1250,9
602,207,20,2,620,9
603,207,3,3,740,9
604,208,23,3,98,1
605,208,5,3,680,1
606,209,12,1,185,9
607,209,1,3,1280,9
608,210,17,1,8900,4
609,210,21,3,110,4
610,210,19,2,74,4
611,211,8,3,210,1
612,211,9,1,390,1
613,211,3,2,740,1
614,211,8,2,210,1
615,211,13,3,980,1
616,212,10,1,275,11
617,212,31,3,88,11
618,212,4,2,92,11
619,212,26,2,340,11
620,212,7,1,1460,11
621,213,1,2,1280,
622,213,17,3,8900,
623,213,24,1,260,
624,213,23,2,98,
625,214,31,2,88,12
626,214,14,1,1250,12
627,214,19,1,74,12
628,215,26,1,340,4
629,215,14,1,1250,4
630,216,18,1,430,9
631,216,16,1,5200,9
632,217,12,3,185,3
633,217,23,1,98,3
634,217,11,3,520,3
635,217,29,1,580,3
636,217,29,1,580,3
637,218,17,1,8900,11
638,218,29,3,580,11
639,218,15,2,360,11
640,219,12,1,185,1
641,219,9,3,390,1
642,220,28,2,390,2
643,220,26,2,340,2
644,220,11,1,520,2
645,221,26,3,340,
646,222,23,1,98,11
647,223,7,2,1460,11
648,223,9,2,390,11
649,223,15,2,360,11
650,223,18,3,430,11
651,224,10,1,275,7
652,225,1,1,1280,6
653,226,22,1,132,5
654,226,13,1,980,5
655,227,17,2,8900,6
656,227,17,1,8900,6
657,227,21,3,110,6
658,227,14,3,1250,6
659,227,15,2,360,6
660,228,18,1,430,7
661,228,3,1,740,7
662,228,16,1,5200,7
663,228,3,1,740,7
664,229,2,3,18400,
665,230,28,2,390,5
666,230,24,2,260,5
667,230,11,2,520,5
668,231,22,3,132,8
669,231,4,2,92,8
670,231,20,1,620,8
671,232,2,1,18400,11
672,232,25,2,475,11
673,232,15,3,360,11
674,232,18,3,430,11
675,233,23,3,98,8
676,234,28,1,390,11
677,234,13,3,980,11
678,234,15,3,360,11
679,235,27,1,720,2
680,235,14,2,1250,2
681,235,9,2,390,2
682,235,29,3,580,2
683,235,9,3,390,2
684,236,9,3,390,3
685,236,1,2,1280,3
686,236,13,3,980,3
687,236,17,1,8900,3
688,237,2,2,18400,
689,237,26,2,340,
690,237,7,3,1460,
691,237,13,3,980,
692,238,1,1,1280,2
693,239,19,2,74,4
694,239,29,1,580,4
695,239,13,1,980,4
696,239,1,1,1280,4
697,239,17,1,8900,4
698,240,4,3,92,2
699,241,29,1,580,6
700,241,30,2,46,6
701,241,10,1,275,6
702,242,19,2,74,7
703,242,29,1,580,7
704,242,18,2,430,7
705,242,21,3,110,7
706,243,23,2,98,3
707,243,10,3,275,3
708,243,18,1,430,3
709,244,5,1,680,1
710,244,28,1,390,1
711,244,2,1,18400,1
712,244,11,3,520,1
713,244,5,3,680,1
714,245,16,3,5200,
715,245,22,2,132,
716,245,20,1,620,
717,246,22,3,132,1
718,246,5,1,680,1
719,246,19,1,74,1
720,247,25,1,475,6
721,247,1,1,1280,6
722,247,1,2,1280,6
723,247,22,3,132,6
724,248,21,1,110,8
725,249,27,3,720,10
726,249,29,2,580,10
727,249,17,2,8900,10
728,249,9,3,390,10
729,249,25,1,475,10
730,250,23,3,98,11
731,250,5,3,680,11
732,251,9,3,390,5
733,252,2,3,18400,2
734,252,17,2,8900,2
735,252,24,1,260,2
736,252,4,1,92,2
737,253,25,3,475,
738,253,10,1,275,
739,253,10,3,275,
740,253,21,3,110,
741,254,11,3,520,3
742,254,11,1,520,3
743,254,28,3,390,3
744,254,15,3,360,3
745,255,21,2,110,3
746,255,27,2,720,3
747,256,28,1,390,11
748,256,2,2,18400,11
749,257,9,2,390,2
750,257,15,2,360,2
751,257,26,2,340,2
752,258,23,3,98,10
753,258,30,2,46,10
754,258,13,1,980,10
755,259,26,2,340,10
756,259,7,3,1460,10
757,260,10,2,275,6
758,260,20,1,620,6
759,260,26,2,340,6
760,261,20,1,620,
761,261,8,1,210,
762,261,28,3,390,
763,261,1,2,1280,
764,262,25,1,475,5
765,262,28,2,390,5
766,262,16,1,5200,5
767,263,5,3,680,6
768,263,22,2,132,6
769,263,26,2,340,6
770,263,25,2,475,6
771,263,9,2,390,6
772,264,3,3,740,10
773,264,14,2,1250,10
774,264,15,2,360,10
775,264,7,3,1460,10
776,264,22,2,132,10
777,265,24,2,260,12
778,265,7,1,1460,12
779,266,19,1,74,7
780,266,20,1,620,7
781,267,16,2,5200,4
782,268,17,1,8900,11
783,268,21,2,110,11
784,268,13,2,980,11
785,268,11,1,520,11
786,269,26,3,340,
787,269,1,2,1280,
788,269,18,2,430,
789,269,4,3,92,
790,269,31,1,88,
791,270,9,1,390,2
792,270,25,3,475,2
