influencer_id,handle,display_name,platform,follower_count,engagement_rate,influence_score,niche,city,region,country,is_verified
1,@vendor_1_01,Vendor 1,threads,17500,0.017,56,Supplier Feed,Phoenix,EMEA,US,0
2,@vendor_2_02,Vendor 2,youtube,25000,0.019,57,Supplier Feed,Seattle,NA,US,0
3,@vendor_3_03,Vendor 3,instagram,32500,0.021,58,Supplier Feed,Atlanta,EMEA,US,1
4,@vendor_4_04,Vendor 4,tiktok,40000,0.023,59,Supplier Feed,Chicago,NA,US,0
5,@vendor_5_05,Vendor 5,twitter,47500,0.025,60,Supplier Feed,Dallas,EMEA,US,0
6,@vendor_6_06,Vendor 6,threads,55000,0.027,61,Supplier Feed,Phoenix,APAC,US,1
7,@vendor_7_07,Vendor 7,youtube,62500,0.029,62,Supplier Feed,Seattle,NA,US,0
8,@vendor_8_08,Vendor 8,instagram,70000,0.031,63,Supplier Feed,Atlanta,NA,US,0
9,@vendor_9_09,Vendor 9,tiktok,77500,0.033,64,Supplier Feed,Chicago,EMEA,US,1
10,@vendor_10_10,Vendor 10,twitter,85000,0.035,65,Supplier Feed,Dallas,LATAM,US,0
11,@vendor_11_11,Vendor 11,threads,92500,0.037,66,Supplier Feed,Phoenix,EMEA,US,0
12,@vendor_12_12,Vendor 12,youtube,100000,0.015,67,Supplier Feed,Seattle,NA,US,1
13,@vendor_13_13,Vendor 13,instagram,107500,0.017,68,Supplier Feed,Atlanta,NA,US,0
14,@vendor_14_14,Vendor 14,tiktok,115000,0.019,69,Supplier Feed,Chicago,NA,US,0
15,@vendor_15_15,Vendor 15,twitter,122500,0.021,70,Supplier Feed,Dallas,EMEA,US,1
16,@vendor_16_16,Vendor 16,threads,130000,0.023,71,Supplier Feed,Phoenix,NA,US,0
17,@vendor_17_17,Vendor 17,youtube,137500,0.025,72,Supplier Feed,Seattle,NA,US,0
18,@vendor_18_18,Vendor 18,instagram,145000,0.027,73,Supplier Feed,Atlanta,APAC,US,1
19,@vendor_19_19,Vendor 19,tiktok,152500,0.029,74,Supplier Feed,Chicago,LATAM,US,0
20,@vendor_20_20,Vendor 20,twitter,160000,0.031,75,Supplier Feed,Dallas,NA,US,0
21,@vendor_21_21,Vendor 21,threads,167500,0.033,76,Supplier Feed,Phoenix,EMEA,US,1
22,@vendor_22_22,Vendor 22,youtube,175000,0.035,77,Supplier Feed,Seattle,EMEA,US,0
23,@vendor_23_23,Vendor 23,instagram,182500,0.037,78,Supplier Feed,Atlanta,EMEA,US,0
24,@vendor_24_24,Vendor 24,tiktok,190000,0.015,79,Supplier Feed,Chicago,NA,US,1
25,@vendor_25_25,Vendor 25,twitter,197500,0.017,80,Supplier Feed,Dallas,NA,US,0
26,@vendor_26_26,Vendor 26,threads,205000,0.019,81,Supplier Feed,Phoenix,EMEA,US,0
27,@vendor_27_27,Vendor 27,youtube,212500,0.021,82,Supplier Feed,Seattle,NA,US,1
28,@vendor_28_28,Vendor 28,instagram,220000,0.023,83,Supplier Feed,Atlanta,NA,US,0
29,@vendor_29_29,Vendor 29,tiktok,227500,0.025,84,Supplier Feed,Chicago,APAC,US,0
30,@vendor_30_30,Vendor 30,twitter,235000,0.027,85,Supplier Feed,Dallas,EMEA,US,1
