source_system,extract_batch_id,raw_sku,product_name,brand_name,category,subcategory,list_price,cost,weight_kg,launch_date,tags,source_updated_at,record_status
Databricks,BRZ-PROD-20260520-01,SKU-100001,Velocityworks Baseball Glove 1,Velocityworks,Team Sports,NetSuite,12.03,7.91,0.400,2026-03-29,"gold-data,team-sports,NetSuite",2026-05-20T06:30:00Z,UPSERT
Databricks,BRZ-PROD-20260520-01,SKU-100003,Velocityworks Training Hoodie 3,Velocityworks,Activewear,NetSuite,162.66,69.10,0.500,2026-03-29,"gold-data,activewear,NetSuite",2026-05-20T06:31:00Z,UPSERT
Databricks,BRZ-PROD-20260520-01,SKU-100004,Hydrawave Bike Light Set 4,Hydrawave,Cycling,NetSuite,25.07,18.11,0.550,2026-03-29,"gold-data,cycling,NetSuite",2026-05-20T06:31:20Z,UPSERT
Databricks,BRZ-PROD-20260520-01,SKU-100007,Canyonridge Trail Runner 7,Canyonridge,Footwear,NetSuite,172.10,88.75,0.700,2026-03-29,"gold-data,footwear,NetSuite",2026-05-20T06:32:15Z,UPSERT
Databricks,BRZ-PROD-20260520-01,SKU-100008,Velocityworks Gps Fitness Watch 8,Velocityworks,Fitness Devices,NetSuite,283.78,183.50,0.750,2026-03-29,"gold-data,fitness-devices,NetSuite",2026-05-20T06:32:25Z,UPSERT
Databricks,BRZ-PROD-20260520-01,sku-100009,Trailforge Training Hoodie 9,Trailforge,Uncategorized,NetSuite,29.61,13.91,0.800,2026-03-29,"gold-data,uncategorized,NetSuite",2026-05-20T06:32:40Z,UPSERT
Databricks,BRZ-PROD-20260520-01,SKU-100011,Ironkinetic Kettlebell 11,Ironkinetic,Strength Training,NetSuite,163.13,102.88,0.900,2026-03-29,"gold-data,strength-training,NetSuite",2026-05-20T06:33:05Z,UPSERT
Databricks,BRZ-PROD-20260520-01,SKU-100013,Peakgear    Foam Roller   13,Peakgear,Running,NetSuite,122.11,55.76,1.000,2026-03-29,"gold-data,running,NetSuite",2026-05-20T06:33:40Z,UPSERT
Databricks,BRZ-PROD-20260520-01,SKU-100015,Summitpulse Outdoor Jacket 15,Summitpulse,Outdoor,NetSuite,477.90,319.48,1.100,2026-03-29,"gold-data,outdoor,NetSuite",2026-05-20T06:34:10Z,UPSERT
Databricks,BRZ-PROD-20260520-01,SKU-100016,Ironkinetic Snow Helmet 16,Ironkinetic,Winter Sports,NetSuite,365.59,251.37,1.150,2026-03-29,"gold-data,winter-sports,NetSuite",2026-05-20T06:34:25Z,UPSERT
Databricks,BRZ-PROD-20260520-01,SKU-100017,Nordcrest Running Shoe 17,Nordcrest,Footwear,NetSuite,41.61,21.33,1.200,2026-03-29,"gold-data,footwear,NetSuite",2026-05-20T06:35:00Z,UPSERT
Databricks,BRZ-PROD-20260520-01,SKU-100018,Nordcrest Carabiner Set 18,Nordcrest,Climbing,NetSuite,77.98,48.17,1.250,2026-03-29,"gold-data,climbing,NetSuite",2026-05-20T06:35:20Z,UPSERT
Databricks,BRZ-PROD-20260520-01,SKU-100023,Velocityworks Dry Bag 23,Velocityworks,Water Sports,NetSuite,9.91,6.84,1.500,2026-03-29,"gold-data,water-sports,NetSuite",2026-05-20T06:36:05Z,UPSERT
Databricks,BRZ-PROD-20260520-01,SKU-100024,Ironkinetic Trekking Poles 24,Ironkinetic,Outdoor,NetSuite,196.20,122.34,1.550,2026-03-29,"gold-data,outdoor,NetSuite",2026-05-20T06:36:20Z,UPSERT
