item_id,order_id,product_id,quantity,unit_price,fulfilled_from
1,1,6,2,150,1
2,1,23,3,135,1
3,1,40,1,120,1
4,2,11,3,225,19
5,2,28,1,210,19
6,2,45,2,195,19
7,3,16,1,300,5
8,3,33,2,285,5
9,3,50,3,270,5
10,4,21,2,105,4
11,4,38,3,90,4
12,4,55,1,75,4
13,5,26,3,180,1
14,5,43,1,165,1
15,5,60,2,150,1
16,6,31,1,255,12
17,6,48,2,240,12
18,6,65,3,225,12
19,7,36,2,330,7
20,7,53,3,315,7
21,7,70,1,300,7
22,8,41,3,135,12
23,8,58,1,120,12
24,8,75,2,105,12
25,9,46,1,210,12
26,9,63,2,195,12
27,9,80,3,180,12
28,10,51,2,285,10
29,10,68,3,270,10
30,10,85,1,255,10
31,11,56,3,90,14
32,11,73,1,75,14
33,11,90,2,330,14
34,12,61,1,165,8
35,12,78,2,150,8
36,12,95,3,135,8
37,13,66,2,240,13
38,13,83,3,225,13
39,13,100,1,210,13
40,14,71,3,315,30
41,14,88,1,300,30
42,14,105,2,285,30
43,15,76,1,120,17
44,15,93,2,105,17
45,15,110,3,90,17
46,16,81,2,195,16
47,16,98,3,180,16
48,16,115,1,165,16
49,17,86,3,270,22
50,17,103,1,255,22
51,17,120,2,240,22
52,18,91,1,75,8
53,18,108,2,330,8
54,18,125,3,315,8
55,19,96,2,150,19
56,19,113,3,135,19
57,19,130,1,120,19
58,20,101,3,225,19
59,20,118,1,210,19
60,20,135,2,195,19
61,21,106,1,300,22
62,21,123,2,285,22
63,21,140,3,270,22
64,22,111,2,105,22
65,22,128,3,90,22
66,22,145,1,75,22
67,23,116,3,180,24
68,23,133,1,165,24
69,23,150,2,150,24
70,24,121,1,255,7
71,24,138,2,240,7
72,24,155,3,225,7
73,25,126,2,330,25
74,25,143,3,315,25
75,25,160,1,300,25
76,26,131,3,135,25
77,26,148,1,120,25
78,26,165,2,105,25
79,27,136,1,210,26
80,27,153,2,195,26
81,27,170,3,180,26
82,28,141,2,285,28
83,28,158,3,270,28
84,28,175,1,255,28
85,29,146,3,90,15
86,29,163,1,75,15
87,29,180,2,330,15
88,30,151,1,165,13
89,30,168,2,150,13
90,30,185,3,135,13
91,31,156,2,240,31
92,31,173,3,225,31
93,31,2,1,90,31
94,32,161,3,315,5
95,32,178,1,300,5
96,32,7,2,165,5
97,33,166,1,120,7
98,33,183,2,105,7
99,33,12,3,240,7
100,34,171,2,195,3
101,34,188,3,180,3
102,34,17,1,315,3
103,35,176,3,270,9
104,35,5,1,135,9
105,35,22,2,120,9
106,36,181,1,75,3
107,36,10,2,210,3
108,36,27,3,195,3
109,37,186,2,150,6
110,37,15,3,285,6
111,37,32,1,270,6
112,38,3,3,105,19
113,38,20,1,90,19
114,38,37,2,75,19
115,39,8,1,180,6
116,39,25,2,165,6
117,39,42,3,150,6
118,40,13,2,255,9
119,40,30,3,240,9
120,40,47,1,225,9
121,41,18,3,330,3
122,41,35,1,315,3
123,41,52,2,300,3
124,42,23,1,135,17
125,42,40,2,120,17
126,42,57,3,105,17
127,43,28,2,210,12
128,43,45,3,195,12
129,43,62,1,180,12
130,44,33,3,285,31
131,44,50,1,270,31
132,44,67,2,255,31
133,45,38,1,90,21
134,45,55,2,75,21
135,45,72,3,330,21
136,46,43,2,165,15
137,46,60,3,150,15
138,46,77,1,135,15
139,47,48,3,240,23
140,47,65,1,225,23
141,47,82,2,210,23
142,48,53,1,315,29
143,48,70,2,300,29
144,48,87,3,285,29
145,49,58,2,120,18
146,49,75,3,105,18
147,49,92,1,90,18
148,50,63,3,195,2
149,50,80,1,180,2
150,50,97,2,165,2
151,51,68,1,270,2
152,51,85,2,255,2
153,51,102,3,240,2
154,52,73,2,75,21
155,52,90,3,330,21
156,52,107,1,315,21
157,53,78,3,150,21
158,53,95,1,135,21
159,53,112,2,120,21
160,54,83,1,225,7
161,54,100,2,210,7
162,54,117,3,195,7
163,55,88,2,300,24
164,55,105,3,285,24
165,55,122,1,270,24
166,56,93,3,105,26
167,56,110,1,90,26
168,56,127,2,75,26
169,57,98,1,180,9
170,57,115,2,165,9
171,57,132,3,150,9
172,58,103,2,255,27
173,58,120,3,240,27
174,58,137,1,225,27
175,59,108,3,330,27
176,59,125,1,315,27
177,59,142,2,300,27
178,60,113,1,135,17
179,60,130,2,120,17
180,60,147,3,105,17
181,61,118,2,210,30
182,61,135,3,195,30
183,61,152,1,180,30
184,62,123,3,285,13
185,62,140,1,270,13
186,62,157,2,255,13
187,63,128,1,90,6
188,63,145,2,75,6
189,63,162,3,330,6
190,64,133,2,165,2
191,64,150,3,150,2
192,64,167,1,135,2
193,65,138,3,240,1
194,65,155,1,225,1
195,65,172,2,210,1
196,66,143,1,315,8
197,66,160,2,300,8
198,66,177,3,285,8
199,67,148,2,120,5
200,67,165,3,105,5
201,67,182,1,90,5
202,68,153,3,195,6
203,68,170,1,180,6
204,68,187,2,165,6
205,69,158,1,270,23
206,69,175,2,255,23
207,69,4,3,120,23
208,70,163,2,75,8
209,70,180,3,330,8
210,70,9,1,195,8
211,71,168,3,150,4
212,71,185,1,135,4
213,71,14,2,270,4
214,72,173,1,225,5
215,72,2,2,90,5
216,72,19,3,75,5
217,73,178,2,300,11
218,73,7,3,165,11
219,73,24,1,150,11
220,74,183,3,105,6
221,74,12,1,240,6
222,74,29,2,225,6
223,75,188,1,180,30
224,75,17,2,315,30
225,75,34,3,300,30
226,76,5,2,135,14
227,76,22,3,120,14
228,76,39,1,105,14
229,77,10,3,210,29
230,77,27,1,195,29
231,77,44,2,180,29
232,78,15,1,285,20
233,78,32,2,270,20
234,78,49,3,255,20
235,79,20,2,90,17
236,79,37,3,75,17
237,79,54,1,330,17
238,80,25,3,165,8
239,80,42,1,150,8
240,80,59,2,135,8
241,81,30,1,240,7
242,81,47,2,225,7
243,81,64,3,210,7
244,82,35,2,315,20
245,82,52,3,300,20
246,82,69,1,285,20
247,83,40,3,120,14
248,83,57,1,105,14
249,83,74,2,90,14
250,84,45,1,195,21
251,84,62,2,180,21
252,84,79,3,165,21
253,85,50,2,270,23
254,85,67,3,255,23
255,85,84,1,240,23
256,86,55,3,75,23
257,86,72,1,330,23
258,86,89,2,315,23
259,87,60,1,150,26
260,87,77,2,135,26
261,87,94,3,120,26
262,88,65,2,225,26
263,88,82,3,210,26
264,88,99,1,195,26
265,89,70,3,300,25
266,89,87,1,285,25
267,89,104,2,270,25
268,90,75,1,105,25
269,90,92,2,90,25
270,90,109,3,75,25
271,91,80,2,180,29
272,91,97,3,165,29
273,91,114,1,150,29
274,92,85,3,255,14
275,92,102,1,240,14
276,92,119,2,225,14
277,93,90,1,330,30
278,93,107,2,315,30
279,93,124,3,300,30
280,94,95,2,135,1
281,94,112,3,120,1
282,94,129,1,105,1
283,95,100,3,210,19
284,95,117,1,195,19
285,95,134,2,180,19
286,96,105,1,285,6
287,96,122,2,270,6
288,96,139,3,255,6
289,97,110,2,90,4
290,97,127,3,75,4
291,97,144,1,330,4
292,98,115,3,165,1
293,98,132,1,150,1
294,98,149,2,135,1
295,99,120,1,240,1
296,99,137,2,225,1
297,99,154,3,210,1
298,100,125,2,315,7
299,100,142,3,300,7
300,100,159,1,285,7
301,101,130,3,120,12
302,101,147,1,105,12
303,101,164,2,90,12
304,102,135,1,195,8
305,102,152,2,180,8
306,102,169,3,165,8
307,103,140,2,270,10
308,103,157,3,255,10
309,103,174,1,240,10
310,104,145,3,75,14
311,104,162,1,330,14
312,104,179,2,315,14
313,105,150,1,150,1
314,105,167,2,135,1
315,105,184,3,120,1
316,106,155,2,225,13
317,106,172,3,210,13
318,106,1,1,75,13
319,107,160,3,300,30
320,107,177,1,285,30
321,107,6,2,150,30
322,108,165,1,105,17
323,108,182,2,90,17
324,108,11,3,225,17
325,109,170,2,180,16
326,109,187,3,165,16
327,109,16,1,300,16
328,110,175,3,255,22
329,110,4,1,120,22
330,110,21,2,105,22
331,111,180,1,330,5
332,111,9,2,195,5
333,111,26,3,180,5
334,112,185,2,135,19
335,112,14,3,270,19
336,112,31,1,255,19
337,113,2,3,90,19
338,113,19,1,75,19
339,113,36,2,330,19
340,114,7,1,165,22
341,114,24,2,150,22
342,114,41,3,135,22
343,115,12,2,240,22
344,115,29,3,225,22
345,115,46,1,210,22
346,116,17,3,315,24
347,116,34,1,300,24
348,116,51,2,285,24
349,117,22,1,120,7
350,117,39,2,105,7
351,117,56,3,90,7
352,118,27,2,195,25
353,118,44,3,180,25
354,118,61,1,165,25
355,119,32,3,270,25
356,119,49,1,255,25
357,119,66,2,240,25
358,120,37,1,75,28
359,120,54,2,330,28
360,120,71,3,315,28
361,121,42,2,150,28
362,121,59,3,135,28
363,121,76,1,120,28
364,122,47,3,225,15
365,122,64,1,210,15
366,122,81,2,195,15
367,123,52,1,300,13
368,123,69,2,285,13
369,123,86,3,270,13
370,124,57,2,105,31
371,124,74,3,90,31
372,124,91,1,75,31
373,125,62,3,180,5
374,125,79,1,165,5
375,125,96,2,150,5
376,126,67,1,255,7
377,126,84,2,240,7
378,126,101,3,225,7
379,127,72,2,330,3
380,127,89,3,315,3
381,127,106,1,300,3
382,128,77,3,135,9
383,128,94,1,120,9
384,128,111,2,105,9
385,129,82,1,210,6
386,129,99,2,195,6
387,129,116,3,180,6
388,130,87,2,285,6
389,130,104,3,270,6
390,130,121,1,255,6
391,131,92,3,90,19
392,131,109,1,75,19
393,131,126,2,330,19
394,132,97,1,165,6
395,132,114,2,150,6
396,132,131,3,135,6
397,133,102,2,240,9
398,133,119,3,225,9
399,133,136,1,210,9
400,134,107,3,315,3
401,134,124,1,300,3
402,134,141,2,285,3
403,135,112,1,120,17
404,135,129,2,105,17
405,135,146,3,90,17
406,136,117,2,195,12
407,136,134,3,180,12
408,136,151,1,165,12
409,137,122,3,270,31
410,137,139,1,255,31
411,137,156,2,240,31
412,138,127,1,75,21
413,138,144,2,330,21
414,138,161,3,315,21
415,139,132,2,150,15
416,139,149,3,135,15
417,139,166,1,120,15
418,140,137,3,225,23
419,140,154,1,210,23
420,140,171,2,195,23
421,141,142,1,300,29
422,141,159,2,285,29
423,141,176,3,270,29
424,142,147,2,105,18
425,142,164,3,90,18
426,142,181,1,75,18
427,143,152,3,180,2
428,143,169,1,165,2
429,143,186,2,150,2
430,144,157,1,255,2
431,144,174,2,240,2
432,144,3,3,105,2
433,145,162,2,330,21
434,145,179,3,315,21
435,145,8,1,180,21
436,146,167,3,135,17
437,146,184,1,120,17
438,146,13,2,255,17
439,147,172,1,210,7
440,147,1,2,75,7
441,147,18,3,330,7
442,148,177,2,285,24
443,148,6,3,150,24
444,148,23,1,135,24
445,149,182,3,90,26
446,149,11,1,225,26
447,149,28,2,210,26
448,150,187,1,165,9
449,150,16,2,300,9
450,150,33,3,285,9
451,151,4,2,120,27
452,151,21,3,105,27
453,151,38,1,90,27
454,152,9,3,195,27
455,152,26,1,180,27
456,152,43,2,165,27
457,153,14,1,270,17
458,153,31,2,255,17
459,153,48,3,240,17
460,154,19,2,75,30
461,154,36,3,330,30
462,154,53,1,315,30
463,155,24,3,150,13
464,155,41,1,135,13
465,155,58,2,120,13
466,156,29,1,225,5
467,156,46,2,210,5
468,156,63,3,195,5
469,157,34,2,300,2
470,157,51,3,285,2
471,157,68,1,270,2
472,158,39,3,105,1
473,158,56,1,90,1
474,158,73,2,75,1
475,159,44,1,180,8
476,159,61,2,165,8
477,159,78,3,150,8
478,160,49,2,255,5
479,160,66,3,240,5
480,160,83,1,225,5
481,161,54,3,330,12
482,161,71,1,315,12
483,161,88,2,300,12
484,162,59,1,135,2
485,162,76,2,120,2
486,162,93,3,105,2
487,163,64,2,210,8
488,163,81,3,195,8
489,163,98,1,180,8
490,164,69,3,285,4
491,164,86,1,270,4
