inventory_id,product_id,center_id,quantity_on_hand,quantity_reserved,quantity_incoming,reorder_point,reorder_qty,last_restock_date,updated_at
1,1,2,18,9,25,55,139,2026-04-06,2026-05-05T16:30:00Z
2,1,9,19,12,36,55,162,2026-04-07,2026-05-05T16:30:00Z
3,1,16,20,15,47,55,185,2026-04-08,2026-05-05T16:30:00Z
4,1,23,172,18,58,55,208,2026-04-09,2026-05-05T16:30:00Z
5,1,30,189,21,69,55,231,2026-04-10,2026-05-05T16:30:00Z
6,1,7,206,24,80,55,254,2026-04-11,2026-05-05T16:30:00Z
7,1,14,223,27,91,55,277,2026-04-12,2026-05-05T16:30:00Z
8,1,21,240,30,102,55,300,2026-04-13,2026-05-05T16:30:00Z
9,1,28,257,33,113,55,323,2026-04-14,2026-05-05T16:30:00Z
10,1,5,274,36,124,55,346,2026-04-15,2026-05-05T16:30:00Z
11,1,12,291,39,135,55,369,2026-04-16,2026-05-05T16:30:00Z
12,2,3,152,14,38,37,158,2026-04-07,2026-05-05T16:30:00Z
13,2,10,169,17,49,38,181,2026-04-08,2026-05-05T16:30:00Z
14,2,17,186,20,60,39,204,2026-04-09,2026-05-05T16:30:00Z
15,2,24,203,23,71,40,227,2026-04-10,2026-05-05T16:30:00Z
16,2,1,220,26,82,41,250,2026-04-11,2026-05-05T16:30:00Z
17,2,8,237,29,93,42,273,2026-04-12,2026-05-05T16:30:00Z
18,2,15,254,32,104,43,296,2026-04-13,2026-05-05T16:30:00Z
19,2,22,271,35,115,44,319,2026-04-14,2026-05-05T16:30:00Z
20,2,29,288,38,126,45,342,2026-04-15,2026-05-05T16:30:00Z
21,2,6,305,41,137,46,365,2026-04-16,2026-05-05T16:30:00Z
22,2,13,322,44,148,47,388,2026-04-17,2026-05-05T16:30:00Z
23,3,4,183,19,51,38,177,2026-04-08,2026-05-05T16:30:00Z
24,3,11,200,22,62,39,200,2026-04-09,2026-05-05T16:30:00Z
25,3,18,217,25,73,40,223,2026-04-10,2026-05-05T16:30:00Z
26,3,25,234,28,84,41,246,2026-04-11,2026-05-05T16:30:00Z
27,3,2,251,31,95,42,269,2026-04-12,2026-05-05T16:30:00Z
28,3,9,268,34,106,43,292,2026-04-13,2026-05-05T16:30:00Z
29,3,16,285,37,117,44,315,2026-04-14,2026-05-05T16:30:00Z
30,3,23,302,40,128,45,338,2026-04-15,2026-05-05T16:30:00Z
31,3,30,319,43,139,46,361,2026-04-16,2026-05-05T16:30:00Z
32,3,7,336,46,150,47,384,2026-04-17,2026-05-05T16:30:00Z
33,3,14,353,4,161,48,407,2026-04-18,2026-05-05T16:30:00Z
34,4,5,214,24,64,39,196,2026-04-09,2026-05-05T16:30:00Z
35,4,12,231,27,75,40,219,2026-04-10,2026-05-05T16:30:00Z
36,4,19,248,30,86,41,242,2026-04-11,2026-05-05T16:30:00Z
37,4,26,265,33,97,42,265,2026-04-12,2026-05-05T16:30:00Z
38,4,3,282,36,108,43,288,2026-04-13,2026-05-05T16:30:00Z
39,4,10,299,39,119,44,311,2026-04-14,2026-05-05T16:30:00Z
40,4,17,316,42,130,45,334,2026-04-15,2026-05-05T16:30:00Z
41,4,24,333,45,141,46,357,2026-04-16,2026-05-05T16:30:00Z
42,4,1,350,48,152,47,380,2026-04-17,2026-05-05T16:30:00Z
