post_id,influencer_id,platform,external_post_id,post_text,posted_at,likes_count,shares_count,comments_count,views_count,sentiment_score,virality_score,detected_products,momentum_flag,processed_at,created_at
54453,,Compliance Signal,ext_compliance_signal_00000001,"Gas odor calls, water leak reports, and streetlight repairs are the top service requests this week",2026-05-16T18:51:46Z,321,23,25,16406,-0.276,,,normal,,2026-05-22T14:21:33Z
54454,,Field Access Bulletin,ext_field_access_bulletin_00000002,"Critical customers and industrial accounts need earlier visibility into planned switching, pressure work, and refinery maintenance windows",2026-05-21T13:17:49Z,157,43,7,14994,0.019,,,normal,,2026-05-22T14:21:33Z
54455,,Regulatory Notice,ext_regulatory_notice_00000003,"Remote pressure, feeder, pipeline, and water-network monitoring alerts are helping teams catch risk before service impacts",2026-05-17T17:42:57Z,64,64,14,5020,0.132,,,normal,,2026-05-22T14:21:33Z
54456,,Capacity Alert,ext_capacity_alert_00000004,"Access barriers are delaying electric, gas, water, refinery, and pipeline field work for several service areas",2026-05-17T12:42:32Z,7678,1203,450,64558,-0.148,,,rising,,2026-05-22T14:21:33Z
54457,,Reliability Signal,ext_reliability_signal_00000005,"Customer operations is seeing increased billing, collections, high-usage, and retail-plan requests after rate changes",2026-05-22T14:21:19Z,2945,931,866,73856,0.532,,,rising,,2026-05-22T14:21:33Z
54458,,Compliance Signal,ext_compliance_signal_00000006,"Customers keep asking for EV charger upgrades, solar interconnections, gas service safety, and retail energy plan support",2026-05-22T10:53:56Z,25207,12954,1512,727243,0.003,,,viral,,2026-05-22T14:21:33Z
54459,,Production Signal,ext_production_signal_00000007,Refinery hydrocracker constraint RFY-HCU-02 is reducing throughput and changing turnaround readiness priorities,2026-05-16T01:09:37Z,996,39,29,7641,0.452,,,normal,,2026-05-22T14:21:33Z
54460,,Regulatory Notice,ext_regulatory_notice_00000008,"Dispatch coordinators are routing electric, gas, water, refinery, and pipeline crews across depots today",2026-05-02T16:05:33Z,2321,1183,148,92868,0.714,,,rising,,2026-05-22T14:21:33Z
54461,,Capacity Alert,ext_capacity_alert_00000009,"Billing, collections, affordability, and payment-arrangement screening is creating new handoffs to customer operations partners",2026-05-15T19:50:37Z,634,4,24,3998,0.82,,,normal,,2026-05-22T14:21:33Z
54462,,Reliability Signal,ext_reliability_signal_00000010,"Customers are asking for clearer outage, gas leak, water main break, and service restoration windows with faster callback updates",2026-05-12T07:14:06Z,787,47,38,9961,0.748,,,normal,,2026-05-22T14:21:33Z
54463,,HSE and Emissions Notice,ext_hse_and_emissions_notice_00000011,HSE incident HSE-3364 needs safety-control triage before field and facility teams continue work,2026-05-17T13:29:05Z,255,91,23,3332,-0.3,,,normal,,2026-05-22T14:21:33Z
54464,,Field Access Bulletin,ext_field_access_bulletin_00000012,"Critical customers and industrial accounts need earlier visibility into planned switching, pressure work, and refinery maintenance windows",2026-05-16T11:22:32Z,535,85,37,11439,0.552,,,normal,,2026-05-22T14:21:33Z
54465,,Regulatory Notice,ext_regulatory_notice_00000013,"Remote pressure, feeder, pipeline, and water-network monitoring alerts are helping teams catch risk before service impacts",2026-05-15T01:48:31Z,285,43,22,17057,0.751,,,normal,,2026-05-22T14:21:33Z
54466,,Production Signal,ext_production_signal_00000014,"LNG cargo LNG-7842 needs berth, storage, and product-movement coordination before the next nomination cycle",2026-05-15T04:00:58Z,204,34,29,11946,0.575,,,normal,,2026-05-22T14:21:33Z
54467,,Reliability Signal,ext_reliability_signal_00000015,"Customer operations is seeing increased billing, collections, high-usage, and retail-plan requests after rate changes",2026-05-12T20:05:04Z,213,32,14,14513,0.64,,,normal,,2026-05-22T14:21:33Z
54468,5568,Reliability Signal,ext_reliability_signal_00000016,"Customers keep asking for EV charger upgrades, solar interconnections, gas service safety, and retail energy plan support",2026-05-21T16:13:07Z,24,87,45,18806,0.069,,,normal,,2026-05-22T14:21:33Z
54469,,Field Access Bulletin,ext_field_access_bulletin_00000017,"Storm, vegetation, pipeline, and water-network teams need better asset-risk outreach before severe weather",2026-05-15T16:09:53Z,305,20,26,18124,0.215,,,normal,,2026-05-22T14:21:33Z
54470,,Regulatory Notice,ext_regulatory_notice_00000018,"Dispatch coordinators are routing electric, gas, water, refinery, and pipeline crews across depots today",2026-04-28T09:11:36Z,6716,1002,484,165049,0.13,,,rising,,2026-05-22T14:21:33Z
54471,,Capacity Alert,ext_capacity_alert_00000019,"Billing, collections, affordability, and payment-arrangement screening is creating new handoffs to customer operations partners",2026-05-22T09:02:11Z,905,60,11,19781,-0.038,,,normal,,2026-05-22T14:21:33Z
54472,,Reliability Signal,ext_reliability_signal_00000020,"Customers are asking for clearer outage, gas leak, water main break, and service restoration windows with faster callback updates",2026-05-22T11:05:11Z,3371,958,617,152850,-0.145,,,rising,,2026-05-22T14:21:33Z
54473,,Production Signal,ext_production_signal_00000021,Compressor station vibration and pipeline pressure variance are creating midstream capacity risk,2026-04-23T20:15:59Z,83,56,41,17137,-0.148,,,normal,,2026-05-22T14:21:33Z
54474,,HSE and Emissions Notice,ext_hse_and_emissions_notice_00000022,Wastewater compliance event WWC-9031 is approaching discharge threshold and notification windows,2026-04-27T17:12:38Z,570,41,14,3446,0.248,,,normal,,2026-05-22T14:21:33Z
54475,,Regulatory Notice,ext_regulatory_notice_00000023,"Remote pressure, feeder, pipeline, and water-network monitoring alerts are helping teams catch risk before service impacts",2026-05-17T22:49:32Z,31755,8331,7760,647408,0.092,,,viral,,2026-05-22T14:21:33Z
54476,,Capacity Alert,ext_capacity_alert_00000024,"Access barriers are delaying electric, gas, water, refinery, and pipeline field work for several service areas",2026-05-21T00:01:42Z,8606,821,158,166064,0.706,,,rising,,2026-05-22T14:21:33Z
54477,,Reliability Signal,ext_reliability_signal_00000025,"Customer operations is seeing increased billing, collections, high-usage, and retail-plan requests after rate changes",2026-05-21T12:38:53Z,907,58,48,8861,0.358,,,normal,,2026-05-22T14:21:33Z
54478,,Compliance Signal,ext_compliance_signal_00000026,"Customers keep asking for EV charger upgrades, solar interconnections, gas service safety, and retail energy plan support",2026-04-23T03:56:45Z,3247,1491,331,166431,-0.083,,,rising,,2026-05-22T14:21:33Z
54479,,Field Access Bulletin,ext_field_access_bulletin_00000027,"Storm, vegetation, pipeline, and water-network teams need better asset-risk outreach before severe weather",2026-05-06T16:10:48Z,2100,918,166,199679,-0.141,,,rising,,2026-05-22T14:21:33Z
54480,,Production Signal,ext_production_signal_00000028,Well production variance is widening against forecast at WELL-NB-014 and artificial lift vibration needs review,2026-05-12T22:02:58Z,47758,14993,7125,666042,0.816,,,viral,,2026-05-22T14:21:33Z
54481,,Capacity Alert,ext_capacity_alert_00000029,"Billing, collections, affordability, and payment-arrangement screening is creating new handoffs to customer operations partners",2026-05-02T01:19:25Z,3900,1324,117,59825,0.24,,,rising,,2026-05-22T14:21:33Z
54482,,Reliability Signal,ext_reliability_signal_00000030,"Customers are asking for clearer outage, gas leak, water main break, and service restoration windows with faster callback updates",2026-05-06T04:15:55Z,976,57,13,17907,-0.059,,,normal,,2026-05-22T14:21:33Z
54483,,Compliance Signal,ext_compliance_signal_00000031,"Gas odor calls, water leak reports, and streetlight repairs are the top service requests this week",2026-05-20T03:21:48Z,43292,10416,6777,628021,-0.061,,,viral,,2026-05-22T14:21:33Z
54484,,Field Access Bulletin,ext_field_access_bulletin_00000032,"Critical customers and industrial accounts need earlier visibility into planned switching, pressure work, and refinery maintenance windows",2026-05-21T12:23:53Z,149,62,26,16532,0.811,,,normal,,2026-05-22T14:21:33Z
54485,,HSE and Emissions Notice,ext_hse_and_emissions_notice_00000033,Produced water handling and leak-response evidence need HSE and environmental review,2026-04-25T16:04:56Z,576,15,23,2697,0.069,,,normal,,2026-05-22T14:21:33Z
54486,,Capacity Alert,ext_capacity_alert_00000034,"Access barriers are delaying electric, gas, water, refinery, and pipeline field work for several service areas",2026-05-01T01:20:31Z,2440,592,556,112729,0.495,,,rising,,2026-05-22T14:21:33Z
54487,,Production Signal,ext_production_signal_00000035,Refinery hydrocracker constraint RFY-HCU-02 is reducing throughput and changing turnaround readiness priorities,2026-05-15T05:54:02Z,8218,1097,520,140300,-0.248,,,rising,,2026-05-22T14:21:33Z
54488,5768,Field Access Bulletin,ext_field_access_bulletin_00000036,"Customers keep asking for EV charger upgrades, solar interconnections, gas service safety, and retail energy plan support",2026-05-19T06:23:01Z,780,13,24,4082,0.545,,,normal,,2026-05-22T14:21:33Z
54489,,Field Access Bulletin,ext_field_access_bulletin_00000037,"Storm, vegetation, pipeline, and water-network teams need better asset-risk outreach before severe weather",2026-05-11T14:52:42Z,24375,3659,1276,590540,0.627,,,viral,,2026-05-22T14:21:33Z
54490,,Regulatory Notice,ext_regulatory_notice_00000038,"Dispatch coordinators are routing electric, gas, water, refinery, and pipeline crews across depots today",2026-04-27T22:23:54Z,80,61,7,3567,0.663,,,normal,,2026-05-22T14:21:33Z
54491,,Capacity Alert,ext_capacity_alert_00000039,"Billing, collections, affordability, and payment-arrangement screening is creating new handoffs to customer operations partners",2026-05-11T08:32:21Z,646,41,10,16984,0.21,,,normal,,2026-05-22T14:21:33Z
54492,,Reliability Signal,ext_reliability_signal_00000040,"Customers are asking for clearer outage, gas leak, water main break, and service restoration windows with faster callback updates",2026-05-22T14:17:20Z,18962,5773,2900,257424,0.136,,,viral,,2026-05-22T14:21:33Z
54493,,Compliance Signal,ext_compliance_signal_00000041,"Gas odor calls, water leak reports, and streetlight repairs are the top service requests this week",2026-05-02T13:58:09Z,460,95,46,7844,-0.174,,,normal,,2026-05-22T14:21:33Z
54494,,Production Signal,ext_production_signal_00000042,"LNG cargo LNG-7842 needs berth, storage, and product-movement coordination before the next nomination cycle",2026-05-22T03:45:23Z,779,33,44,18264,0.162,,,normal,,2026-05-22T14:21:33Z
