influencer_id,handle,display_name,platform,follower_count,engagement_rate,influence_score,niche,city,region,country,is_verified,created_at
1,@fda_watch,CMS Watch,Supply Quality Notice,29787,0.0419,71.62,FDA,New York,New York,US,0,2026-04-13T09:16:47Z
2,@ema_review,Quality Review Review,Compliance Signal,40474,0.0457,78.45,Quality Review,Los Angeles,California,US,0,2026-04-13T09:16:47Z
3,@gxp_compliance,GxP Compliance,Cold Chain Bulletin,289825,0.0381,84.35,GxP,Chicago,Illinois,US,0,2026-04-13T09:16:47Z
4,@gxp_audit,Quality Audit,Regulatory Notice,4845,0.0496,69.43,Care Logistics,Houston,Texas,US,0,2026-04-13T09:16:47Z
5,@protocol_feed,Protocol Feed,Capacity Alert,8767,0.0365,62.32,Port Logistics,Phoenix,Arizona,US,0,2026-04-13T09:16:47Z
6,@port_status,Port Status,Supply Quality Notice,8757,0.0618,73.6,GMP Utilities,San Francisco,California,US,0,2026-04-13T09:16:47Z
7,@care logistics_coordinator,Care Logistics Coordinator,Compliance Signal,82123,0.0767,100,Vaccine Products,Miami,Florida,US,0,2026-04-13T09:16:47Z
8,@vaccine_controlroom,Vaccine Controlroom,Cold Chain Bulletin,48455,0.0488,74.64,Protocol Operations,Seattle,Washington,US,0,2026-04-13T09:16:47Z
9,@waterworks_lab,Waterworks Lab,Regulatory Notice,9410,0.0775,79.81,Care Delivery Supplies,Denver,Colorado,US,0,2026-04-13T09:16:47Z
10,@formulation_tracker,Formulation Tracker,Capacity Alert,5314,0.0358,60.18,Device Packaging,Austin,Texas,US,0,2026-04-13T09:16:47Z
11,@aseptic_flow,Aseptic Flow,Supply Quality Notice,1884,0.0335,59.83,Steriles,Nashville,Tennessee,US,0,2026-04-13T09:16:47Z
12,@trial supply_hub,Trial Supply Hub,Compliance Signal,2955,0.0311,61.13,Sterility Assurance,Portland,Oregon,US,0,2026-04-13T09:16:47Z
13,@device_release,Device Release,Cold Chain Bulletin,62427,0.072,95.97,Manufacturer Quality,Boston,Massachusetts,US,0,2026-04-13T09:16:47Z
14,@assay_watchlist,Assay Watchlist,Regulatory Notice,6305,0.1018,98.65,Component Risk,Atlanta,Georgia,US,0,2026-04-13T09:16:47Z
15,@sterility_bridge,Sterility Bridge,Capacity Alert,6623,0.0607,75.6,Care Logistics Logistics,Dallas,Texas,US,0,2026-04-13T09:16:47Z
16,@aseptic_ops,Aseptic Ops,Supply Quality Notice,21942,0.0745,96.91,FDA,San Diego,California,US,0,2026-04-13T09:16:47Z
17,@excipient_intel,Excipient Intel,Compliance Signal,1845,0.088,83.27,Quality Review,Minneapolis,Minnesota,US,0,2026-04-13T09:16:47Z
18,@pv_wire,PV Wire,Cold Chain Bulletin,9976,0.0765,85.02,GxP,Detroit,Michigan,US,0,2026-04-13T09:16:47Z
19,@supply_ledger,Supply Ledger,Regulatory Notice,9123,0.0362,71.62,Care Logistics,Las Vegas,Nevada,US,0,2026-04-13T09:16:47Z
20,@tariff_registry,Tariff Registry,Capacity Alert,9026,0.0951,93.79,Port Logistics,Brooklyn,New York,US,0,2026-04-13T09:16:47Z
21,@freight_matrix,Freight Matrix,Supply Quality Notice,3774,0.0615,80.61,GMP Utilities,New York,New York,US,0,2026-04-13T09:16:47Z
22,@purity_bulletins,Purity Bulletins,Compliance Signal,83369,0.0622,90.24,Vaccine Products,Los Angeles,California,US,0,2026-04-13T09:16:47Z
23,@storage_bulletin,Storage Bulletin,Cold Chain Bulletin,85062,0.0573,85.12,Protocol Operations,Chicago,Illinois,US,0,2026-04-13T09:16:47Z
24,@compat_notice,Compat Notice,Regulatory Notice,9133,0.0775,85.5,Care Delivery Supplies,Houston,Texas,US,0,2026-04-13T09:16:47Z
25,@allocation_network,Allocation Network,Capacity Alert,26237,0.0264,68.42,Device Packaging,Phoenix,Arizona,US,0,2026-04-13T09:16:47Z
26,@component_map,Component Map,Supply Quality Notice,17305,0.0471,82.26,Steriles,San Francisco,California,US,0,2026-04-13T09:16:47Z
27,@plant_control,Plant Control,Compliance Signal,8926,0.1031,94.94,Sterility Assurance,Miami,Florida,US,0,2026-04-13T09:16:47Z
28,@safety_queue,Safety Queue,Cold Chain Bulletin,37898,0.0655,90.3,Manufacturer Quality,Seattle,Washington,US,0,2026-04-13T09:16:47Z
29,@import_channel,Import Channel,Regulatory Notice,4482,0.1016,91.6,Component Risk,Denver,Colorado,US,0,2026-04-13T09:16:47Z
30,@export_alerts,Export Alerts,Capacity Alert,63731,0.0519,81.88,Care Logistics Logistics,Austin,Texas,US,0,2026-04-13T09:16:47Z
31,@quality_weekly,Quality Weekly,Supply Quality Notice,536083,0.0277,88.26,FDA,Nashville,Tennessee,US,1,2026-04-13T09:16:47Z
32,@compliance_market,Compliance Market,Compliance Signal,8576,0.1177,100,Quality Review,Portland,Oregon,US,0,2026-04-13T09:16:47Z
