mention_id,post_id,product_id,confidence_score,mention_type,created_at
1,1,3,0.733,semantic,2026-04-13T09:16:48Z
2,2,63,0.935,hashtag,2026-04-13T09:16:48Z
3,3,168,0.775,visual,2026-04-13T09:16:48Z
4,6,94,0.711,semantic,2026-04-13T09:16:48Z
5,7,101,0.899,hashtag,2026-04-13T09:16:48Z
6,8,160,0.712,visual,2026-04-13T09:16:48Z
7,9,93,0.752,inferred,2026-04-13T09:16:48Z
8,10,144,0.91,direct,2026-04-13T09:16:48Z
9,11,162,0.715,semantic,2026-04-13T09:16:48Z
10,12,139,0.721,hashtag,2026-04-13T09:16:48Z
11,13,101,0.845,visual,2026-04-13T09:16:48Z
12,15,63,0.824,direct,2026-04-13T09:16:48Z
13,17,22,0.866,hashtag,2026-04-13T09:16:48Z
14,18,138,0.989,visual,2026-04-13T09:16:48Z
15,19,46,0.785,inferred,2026-04-13T09:16:48Z
16,20,44,0.834,direct,2026-04-13T09:16:48Z
17,21,135,0.794,semantic,2026-04-13T09:16:48Z
18,22,61,0.918,hashtag,2026-04-13T09:16:48Z
19,25,107,0.954,direct,2026-04-13T09:16:48Z
20,26,127,0.705,semantic,2026-04-13T09:16:48Z
21,27,3,0.71,hashtag,2026-04-13T09:16:48Z
22,28,80,0.792,visual,2026-04-13T09:16:48Z
23,30,137,0.707,direct,2026-04-13T09:16:48Z
24,31,49,0.719,semantic,2026-04-13T09:16:48Z
25,33,149,0.991,visual,2026-04-13T09:16:48Z
26,36,75,0.731,semantic,2026-04-13T09:16:48Z
27,37,27,0.839,hashtag,2026-04-13T09:16:48Z
28,38,66,0.831,visual,2026-04-13T09:16:48Z
29,40,113,0.762,direct,2026-04-13T09:16:48Z
30,45,67,0.868,direct,2026-04-13T09:16:48Z
31,48,146,0.818,visual,2026-04-13T09:16:48Z
32,50,40,0.877,direct,2026-04-13T09:16:48Z
33,51,65,0.836,semantic,2026-04-13T09:16:48Z
34,52,85,0.889,hashtag,2026-04-13T09:16:48Z
35,54,37,0.718,inferred,2026-04-13T09:16:48Z
36,55,91,0.789,direct,2026-04-13T09:16:48Z
37,56,152,0.947,semantic,2026-04-13T09:16:48Z
38,57,29,0.994,hashtag,2026-04-13T09:16:48Z
39,58,184,0.797,visual,2026-04-13T09:16:48Z
40,60,136,0.753,direct,2026-04-13T09:16:48Z
41,61,36,0.946,semantic,2026-04-13T09:16:48Z
42,62,44,0.985,hashtag,2026-04-13T09:16:48Z
43,63,75,0.712,visual,2026-04-13T09:16:48Z
44,66,24,0.975,semantic,2026-04-13T09:16:48Z
45,67,49,0.856,hashtag,2026-04-13T09:16:48Z
46,70,136,0.965,direct,2026-04-13T09:16:48Z
47,71,112,0.876,semantic,2026-04-13T09:16:48Z
48,72,125,0.962,hashtag,2026-04-13T09:16:48Z
49,73,53,0.848,visual,2026-04-13T09:16:48Z
50,74,173,0.909,inferred,2026-04-13T09:16:48Z
51,75,145,0.72,direct,2026-04-13T09:16:48Z
52,76,96,0.958,semantic,2026-04-13T09:16:48Z
53,78,8,0.884,visual,2026-04-13T09:16:48Z
54,79,146,0.821,inferred,2026-04-13T09:16:48Z
55,80,181,0.712,direct,2026-04-13T09:16:48Z
56,82,179,0.965,hashtag,2026-04-13T09:16:48Z
57,83,166,0.879,visual,2026-04-13T09:16:48Z
58,84,94,0.826,inferred,2026-04-13T09:16:48Z
59,85,2,0.896,direct,2026-04-13T09:16:48Z
60,87,17,0.963,hashtag,2026-04-13T09:16:48Z
61,88,185,0.717,visual,2026-04-13T09:16:48Z
62,89,43,0.952,inferred,2026-04-13T09:16:48Z
63,90,27,0.861,direct,2026-04-13T09:16:48Z
64,91,42,0.905,semantic,2026-04-13T09:16:48Z
65,92,90,0.738,hashtag,2026-04-13T09:16:48Z
66,94,184,0.712,inferred,2026-04-13T09:16:48Z
67,95,28,0.81,direct,2026-04-13T09:16:48Z
68,97,135,0.81,hashtag,2026-04-13T09:16:48Z
69,98,26,0.708,visual,2026-04-13T09:16:48Z
70,99,14,0.725,inferred,2026-04-13T09:16:48Z
71,100,35,0.892,direct,2026-04-13T09:16:48Z
72,101,136,0.833,semantic,2026-04-13T09:16:48Z
73,102,155,0.864,hashtag,2026-04-13T09:16:48Z
74,103,22,0.999,visual,2026-04-13T09:16:48Z
75,104,9,0.967,inferred,2026-04-13T09:16:48Z
76,105,14,0.784,direct,2026-04-13T09:16:48Z
77,106,94,0.934,semantic,2026-04-13T09:16:48Z
78,107,109,0.813,hashtag,2026-04-13T09:16:48Z
79,108,180,0.737,visual,2026-04-13T09:16:48Z
80,109,154,0.815,inferred,2026-04-13T09:16:48Z
81,111,3,0.903,semantic,2026-04-13T09:16:48Z
82,112,87,0.947,hashtag,2026-04-13T09:16:48Z
83,113,187,0.927,visual,2026-04-13T09:16:48Z
84,114,14,0.803,inferred,2026-04-13T09:16:48Z
85,115,73,0.724,direct,2026-04-13T09:16:48Z
86,117,95,0.976,hashtag,2026-04-13T09:16:48Z
87,118,157,0.976,visual,2026-04-13T09:16:48Z
88,120,29,0.924,direct,2026-04-13T09:16:48Z
89,121,1,0.822,semantic,2026-04-13T09:16:48Z
90,122,40,0.84,hashtag,2026-04-13T09:16:48Z
91,123,17,0.934,visual,2026-04-13T09:16:48Z
92,124,155,0.867,inferred,2026-04-13T09:16:48Z
93,126,32,0.909,semantic,2026-04-13T09:16:48Z
94,127,159,0.899,hashtag,2026-04-13T09:16:48Z
95,128,138,0.838,visual,2026-04-13T09:16:48Z
96,130,107,0.763,direct,2026-04-13T09:16:48Z
97,133,70,0.706,visual,2026-04-13T09:16:48Z
98,134,94,0.885,inferred,2026-04-13T09:16:48Z
99,135,4,0.889,direct,2026-04-13T09:16:48Z
100,136,46,0.742,semantic,2026-04-13T09:16:48Z
101,137,45,0.92,hashtag,2026-04-13T09:16:48Z
102,138,92,0.92,visual,2026-04-13T09:16:48Z
103,139,92,0.944,inferred,2026-04-13T09:16:48Z
104,140,140,0.803,direct,2026-04-13T09:16:48Z
105,141,98,0.85,semantic,2026-04-13T09:16:48Z
106,142,28,0.78,hashtag,2026-04-13T09:16:48Z
107,145,88,0.86,direct,2026-04-13T09:16:48Z
108,146,107,0.717,semantic,2026-04-13T09:16:48Z
109,149,32,0.772,inferred,2026-04-13T09:16:48Z
110,150,115,0.732,direct,2026-04-13T09:16:48Z
111,154,150,0.873,inferred,2026-04-13T09:16:48Z
112,155,19,0.95,direct,2026-04-13T09:16:48Z
113,156,51,0.72,semantic,2026-04-13T09:16:48Z
114,158,65,0.771,visual,2026-04-13T09:16:48Z
115,159,176,0.761,inferred,2026-04-13T09:16:48Z
116,160,27,0.897,direct,2026-04-13T09:16:48Z
117,161,141,0.745,semantic,2026-04-13T09:16:48Z
118,163,51,0.98,visual,2026-04-13T09:16:48Z
119,164,115,0.835,inferred,2026-04-13T09:16:48Z
120,165,75,0.739,direct,2026-04-13T09:16:48Z
121,167,146,0.926,hashtag,2026-04-13T09:16:48Z
122,168,144,0.75,visual,2026-04-13T09:16:48Z
123,169,22,0.866,inferred,2026-04-13T09:16:48Z
124,170,107,0.987,direct,2026-04-13T09:16:48Z
125,173,46,0.919,visual,2026-04-13T09:16:48Z
126,174,114,0.854,inferred,2026-04-13T09:16:48Z
127,175,123,0.909,direct,2026-04-13T09:16:48Z
