influencer_id,handle,display_name,platform,follower_count,engagement_rate,influence_score,niche,city,region,country,is_verified,created_at
1,@premiere_001,Film Discovery 001,instagram,19919,0.055,65.1,Film Discovery,Edison,New Jersey,US,0,2026-05-05T16:30:00Z
2,@streaming_002,Streaming Strategy 002,tiktok,27838,0.092,82.2,Streaming Strategy,Burbank,California,US,0,2026-05-05T16:30:00Z
3,@fandom_003,Fan Communities 003,twitter,35757,0.039,48.3,Fan Communities,Joliet,Illinois,US,0,2026-05-05T16:30:00Z
4,@trailer_004,Trailer Reactions 004,youtube,43676,0.076,65.4,Trailer Reactions,Dallas,Texas,US,0,2026-05-05T16:30:00Z
5,@rights_005,Sports Rights 005,threads,51595,0.023,82.5,Sports Rights,Miami,Florida,US,1,2026-05-05T16:30:00Z
6,@liveops_006,Live Event Operations 006,instagram,59514,0.06,48.6,Live Event Operations,Seattle,Washington,US,0,2026-05-05T16:30:00Z
7,@family_007,Family Entertainment 007,tiktok,67433,0.097,65,Family Entertainment,Goodyear,Arizona,US,0,2026-05-05T16:30:00Z
8,@globaldrama_008,International Fandom 008,twitter,75352,0.044,82.1,International Fandom,Atlanta,Georgia,US,0,2026-05-05T16:30:00Z
9,@anime_009,Anime Culture 009,youtube,83271,0.081,48.2,Anime Culture,San Francisco,California,US,0,2026-05-05T16:30:00Z
10,@music_010,Music Livestreams 010,threads,91190,0.028,65.3,Music Livestreams,Denver,Colorado,US,1,2026-05-05T16:30:00Z
11,@docu_011,Documentary Forums 011,instagram,99109,0.065,82.4,Documentary Forums,Boston,Massachusetts,US,0,2026-05-05T16:30:00Z
12,@creator_012,Creator Monetization 012,tiktok,107028,0.102,48.5,Creator Monetization,Washington,District of Columbia,US,0,2026-05-05T16:30:00Z
13,@moderation_013,Trust and Safety 013,twitter,114947,0.049,65.6,Trust and Safety,Portland,Oregon,US,0,2026-05-05T16:30:00Z
14,@retention_014,Subscriber Retention 014,youtube,122866,0.086,82,Subscriber Retention,Nashville,Tennessee,US,0,2026-05-05T16:30:00Z
15,@arpu_015,Premium Economy 015,threads,130785,0.033,48.1,Premium Economy,Austin,Texas,US,1,2026-05-05T16:30:00Z
16,@watchtime_016,Subscriber Growth 016,instagram,138704,0.07,65.2,Subscriber Growth,Orlando,Florida,US,0,2026-05-05T16:30:00Z
17,@sports-media_017,Film Discovery 017,tiktok,146623,0.107,82.3,Film Discovery,Las Vegas,Nevada,US,0,2026-05-05T16:30:00Z
18,@fastchannel_018,Streaming Strategy 018,twitter,154542,0.054,48.4,Streaming Strategy,Minneapolis,Minnesota,US,0,2026-05-05T16:30:00Z
19,@sportsreel_019,Fan Communities 019,youtube,162461,0.091,65.5,Fan Communities,Charlotte,North Carolina,US,0,2026-05-05T16:30:00Z
20,@fanbase_020,Trailer Reactions 020,threads,170380,0.038,82.6,Trailer Reactions,Philadelphia,Pennsylvania,US,1,2026-05-05T16:30:00Z
21,@premiere_021,Sports Rights 021,instagram,178299,0.075,48,Sports Rights,San Diego,California,US,0,2026-05-05T16:30:00Z
22,@streaming_022,Live Event Operations 022,tiktok,186218,0.022,65.1,Live Event Operations,Raleigh,North Carolina,US,0,2026-05-05T16:30:00Z
23,@fandom_023,Family Entertainment 023,twitter,194137,0.059,82.2,Family Entertainment,Salt Lake City,Utah,US,0,2026-05-05T16:30:00Z
24,@trailer_024,International Fandom 024,youtube,202056,0.096,48.3,International Fandom,San Antonio,Texas,US,0,2026-05-05T16:30:00Z
25,@rights_025,Anime Culture 025,threads,209975,0.043,65.4,Anime Culture,Honolulu,Hawaii,US,1,2026-05-05T16:30:00Z
26,@liveops_026,Music Livestreams 026,instagram,217894,0.08,82.5,Music Livestreams,Detroit,Michigan,US,0,2026-05-05T16:30:00Z
27,@family_027,Documentary Forums 027,tiktok,225813,0.027,48.6,Documentary Forums,Kansas City,Missouri,US,0,2026-05-05T16:30:00Z
28,@globaldrama_028,Creator Monetization 028,twitter,233732,0.064,65,Creator Monetization,New Orleans,Louisiana,US,0,2026-05-05T16:30:00Z
29,@anime_029,Trust and Safety 029,youtube,241651,0.101,82.1,Trust and Safety,Cleveland,Ohio,US,0,2026-05-05T16:30:00Z
30,@music_030,Subscriber Retention 030,threads,249570,0.048,48.2,Subscriber Retention,Tampa,Florida,US,1,2026-05-05T16:30:00Z
31,@docu_031,Premium Economy 031,instagram,257489,0.085,65.3,Premium Economy,Edison,New Jersey,US,0,2026-05-05T16:30:00Z
32,@creator_032,Subscriber Growth 032,tiktok,265408,0.032,82.4,Subscriber Growth,Burbank,California,US,0,2026-05-05T16:30:00Z
