product_id,gold_product_id,product_sk,source_product_id,brand_id,sku,product_name,description,category,subcategory,unit_price,unit_cost,weight_kg,launch_date,tags
1,1,1606,1,1,SKU-100001,Velocityworks Baseball Glove 1,Gold catalog product 1 sourced from NetSuite in the Team Sports category.,Team Sports,NetSuite,12.03,7.91,0.4,2026-03-29,"gold-data,team-sports,NetSuite"
2,2,1607,2,2,SKU-100002,Trailforge Smart Scale 2,Gold catalog product 2 sourced from NetSuite in the Fitness Devices category.,Fitness Devices,NetSuite,257.07,204.57,0.45,2026-03-29,"gold-data,fitness-devices,NetSuite"
3,3,1608,3,1,SKU-100003,Velocityworks Training Hoodie 3,Gold catalog product 3 sourced from NetSuite in the Activewear category.,Activewear,NetSuite,162.66,69.1,0.5,2026-03-29,"gold-data,activewear,NetSuite"
4,4,1609,4,3,SKU-100004,Hydrawave Bike Light Set 4,Gold catalog product 4 sourced from NetSuite in the Cycling category.,Cycling,NetSuite,25.07,18.11,0.55,2026-03-29,"gold-data,cycling,NetSuite"
5,5,1610,5,2,SKU-100005,Trailforge Compression Shorts 5,Gold catalog product 5 sourced from NetSuite in the Activewear category.,Activewear,NetSuite,46.51,24.49,0.6,2026-03-29,"gold-data,activewear,NetSuite"
6,6,1611,6,4,SKU-100006,Ironkinetic Repair Kit 6,Gold catalog product 6 sourced from NetSuite in the Cycling category.,Cycling,NetSuite,111.68,77.19,0.65,2026-03-29,"gold-data,cycling,NetSuite"
7,7,1612,7,5,SKU-100007,Canyonridge Trail Runner 7,Gold catalog product 7 sourced from NetSuite in the Footwear category.,Footwear,NetSuite,172.1,88.75,0.7,2026-03-29,"gold-data,footwear,NetSuite"
8,8,1613,8,1,SKU-100008,Velocityworks Gps Fitness Watch 8,Gold catalog product 8 sourced from NetSuite in the Fitness Devices category.,Fitness Devices,NetSuite,283.78,183.5,0.75,2026-03-29,"gold-data,fitness-devices,NetSuite"
9,9,1614,9,2,SKU-100009,Trailforge Training Hoodie 9,Gold catalog product 9 sourced from NetSuite in the Uncategorized category.,Uncategorized,NetSuite,29.61,13.91,0.8,2026-03-29,"gold-data,uncategorized,NetSuite"
10,10,1615,10,6,SKU-100010,Summitpulse Belay Device 10,Gold catalog product 10 sourced from NetSuite in the Climbing category.,Climbing,NetSuite,141.81,68.78,0.85,2026-03-29,"gold-data,climbing,NetSuite"
11,11,1616,11,4,SKU-100011,Ironkinetic Kettlebell 11,Gold catalog product 11 sourced from NetSuite in the Strength Training category.,Strength Training,NetSuite,163.13,102.88,0.9,2026-03-29,"gold-data,strength-training,NetSuite"
12,12,1617,12,4,SKU-100012,Ironkinetic Daypack 12,Gold catalog product 12 sourced from NetSuite in the Outdoor category.,Outdoor,NetSuite,274.41,217.88,0.95,2026-03-29,"gold-data,outdoor,NetSuite"
13,13,1618,13,7,SKU-100013,Peakgear    Foam Roller   13,Gold catalog product 13 sourced from NetSuite in the Running category.,Running,NetSuite,122.11,55.76,1.0,2026-03-29,"gold-data,running,NetSuite"
14,14,1619,14,6,SKU-100014,Summitpulse Running Socks 14,Gold catalog product 14 sourced from NetSuite in the Running category.,Running,NetSuite,62.44,40.15,1.05,2026-03-29,"gold-data,running,NetSuite"
15,15,1620,15,6,SKU-100015,Summitpulse Outdoor Jacket 15,Gold catalog product 15 sourced from NetSuite in the Outdoor category.,Outdoor,NetSuite,477.9,319.48,1.1,2026-03-29,"gold-data,outdoor,NetSuite"
16,16,1621,16,4,SKU-100016,Ironkinetic Snow Helmet 16,Gold catalog product 16 sourced from NetSuite in the Winter Sports category.,Winter Sports,NetSuite,365.59,251.37,1.15,2026-03-29,"gold-data,winter-sports,NetSuite"
17,17,1622,17,8,SKU-100017,Nordcrest Running Shoe 17,Gold catalog product 17 sourced from NetSuite in the Footwear category.,Footwear,NetSuite,41.61,21.33,1.2,2026-03-29,"gold-data,footwear,NetSuite"
18,18,1623,18,8,SKU-100018,Nordcrest Carabiner Set 18,Gold catalog product 18 sourced from NetSuite in the Climbing category.,Climbing,NetSuite,77.98,48.17,1.25,2026-03-29,"gold-data,climbing,NetSuite"
19,19,1624,19,8,SKU-100019,Nordcrest Base Layer Top 19,Gold catalog product 19 sourced from NetSuite in the Activewear category.,Activewear,NetSuite,24.54,13.68,1.3,2026-03-29,"gold-data,activewear,NetSuite"
20,20,1625,20,3,SKU-100020,Hydrawave Volleyball 20,Gold catalog product 20 sourced from NetSuite in the Uncategorized category.,Uncategorized,NetSuite,230.76,146.96,1.35,2026-03-29,"gold-data,uncategorized,NetSuite"
21,21,1626,21,4,SKU-100021,Ironkinetic Bike Light Set 21,Gold catalog product 21 sourced from NetSuite in the Uncategorized category.,Uncategorized,NetSuite,81.2,57.22,1.4,2026-03-29,"gold-data,uncategorized,NetSuite"
22,22,1627,22,5,SKU-100022,Canyonridge Gps Fitness Watch 22,Gold catalog product 22 sourced from NetSuite in the Fitness Devices category.,Fitness Devices,NetSuite,422.72,300.36,1.45,2026-03-29,"gold-data,fitness-devices,NetSuite"
23,23,1628,23,1,SKU-100023,Velocityworks Dry Bag 23,Gold catalog product 23 sourced from NetSuite in the Water Sports category.,Water Sports,NetSuite,9.91,6.84,1.5,2026-03-29,"gold-data,water-sports,NetSuite"
24,24,1629,24,4,SKU-100024,Ironkinetic Trekking Poles 24,Gold catalog product 24 sourced from NetSuite in the Outdoor category.,Outdoor,NetSuite,196.2,122.34,1.55,2026-03-29,"gold-data,outdoor,NetSuite"
25,25,1630,25,6,SKU-100025,Summitpulse Basketball 25,Gold catalog product 25 sourced from NetSuite in the Team Sports category.,Team Sports,NetSuite,105.01,51.55,1.6,2026-03-29,"gold-data,team-sports,NetSuite"
26,26,1631,26,4,SKU-100026,Ironkinetic Kettlebell 26,Gold catalog product 26 sourced from NetSuite in the Strength Training category.,Strength Training,NetSuite,220.98,161.5,1.65,2026-03-29,"gold-data,strength-training,NetSuite"
