B2B_FACT_ID,PARTNER_ID,CONTRACT_ID,OPPORTUNITY_ID,REGION,MARKET_SEGMENT,ACTIVE_FROM,EXPIRES_ON,ANNUAL_CONTRACT_VALUE,PIPELINE_AMOUNT,PIPELINE_STAGE,IS_ACTIVE
1,2663,C-200001,,,SMB,2021-05-18T00:00:00Z,2024-02-23T00:00:00Z,539398.79,,,0
2,2473,C-200002,,,SMB,2022-08-01T00:00:00Z,2023-12-23T00:00:00Z,2993972.26,,,0
3,2718,C-200003,,,SMB,2021-01-21T00:00:00Z,2022-08-05T00:00:00Z,2286118.93,,,0
4,3302,C-200004,,,SMB,2025-09-21T00:00:00Z,2025-12-31T00:00:00Z,281822.19,,,0
5,4138,C-207996,,,ENT,2021-05-10T00:00:00Z,2024-01-27T00:00:00Z,2351555.19,,,0
6,4532,C-207997,,,SMB,2022-11-17T00:00:00Z,2024-09-29T00:00:00Z,1657452.04,,,0
7,3247,C-207998,,,SMB,2021-02-26T00:00:00Z,2022-05-05T00:00:00Z,3703407.57,,,0
8,157,C-207999,,,SMB,2025-05-17T00:00:00Z,2025-12-31T00:00:00Z,2540340.74,,,0
9,934,C-208000,,,SMB,2022-08-01T00:00:00Z,2025-04-07T00:00:00Z,3020191.8,,,0
10,2581,C-200005,,,PUBLIC,2023-11-09T00:00:00Z,2025-03-12T00:00:00Z,3523793.48,,,0
11,4401,C-200006,,,SMB,2023-03-14T00:00:00Z,2025-12-31T00:00:00Z,3689466.77,,,0
12,569,C-200007,,,MID,2022-08-31T00:00:00Z,2023-05-10T00:00:00Z,2536988.63,,,0
13,3958,C-200008,,,SMB,2025-12-29T00:00:00Z,2025-12-31T00:00:00Z,4016067.36,,,0
14,2547,C-200009,,,SMB,2021-03-14T00:00:00Z,2022-04-15T00:00:00Z,3426706.38,,,0
15,4116,C-200010,,,SMB,2022-03-14T00:00:00Z,2023-09-21T00:00:00Z,3292082.78,,,0
16,579,C-200011,,,SMB,2025-08-03T00:00:00Z,2025-12-31T00:00:00Z,4428562.68,,,0
17,3704,C-200012,,,SMB,2021-11-09T00:00:00Z,2023-06-02T00:00:00Z,3305801.79,,,0
18,2570,C-200013,,,SMB,2025-12-18T00:00:00Z,2025-12-31T00:00:00Z,2242179.08,,,0
19,3814,C-200014,,,SMB,2022-09-05T00:00:00Z,2025-01-10T00:00:00Z,3048870.64,,,0
20,1047,C-200015,,,SMB,2024-04-29T00:00:00Z,2025-05-19T00:00:00Z,2120209.8,,,0
21,4618,C-200016,,,ENT,2024-01-19T00:00:00Z,2025-12-31T00:00:00Z,4708786.41,,,0
22,905,C-200017,,,MID,2022-01-26T00:00:00Z,2024-12-02T00:00:00Z,1608239.03,,,0
23,1721,C-200018,,,MID,2024-01-20T00:00:00Z,2025-12-31T00:00:00Z,3040244.01,,,0
24,2888,C-200019,,,SMB,2021-04-25T00:00:00Z,2022-10-25T00:00:00Z,2337011.15,,,0
25,1913,C-200020,,,PUBLIC,2023-06-03T00:00:00Z,2025-12-31T00:00:00Z,1027769.12,,,0
26,4138,C-200021,,,ENT,2023-04-10T00:00:00Z,2024-12-01T00:00:00Z,548920.14,,,0
27,3865,C-200022,,,SMB,2023-08-19T00:00:00Z,2025-05-14T00:00:00Z,234700.74,,,0
28,2657,C-200023,,,PUBLIC,2022-05-12T00:00:00Z,2023-04-21T00:00:00Z,2194330.78,,,0
29,1525,C-200024,,,SMB,2022-02-03T00:00:00Z,2023-12-12T00:00:00Z,3752202.06,,,0
30,2405,C-200025,,,SMB,2025-10-06T00:00:00Z,2025-12-31T00:00:00Z,3064142.69,,,0
31,2558,C-200026,,,ENT,2025-07-18T00:00:00Z,2025-12-31T00:00:00Z,2669921.3,,,0
32,938,C-200027,,,ENT,2024-03-03T00:00:00Z,2025-12-31T00:00:00Z,475841.67,,,0
33,3215,C-200028,,,SMB,2022-05-29T00:00:00Z,2022-12-17T00:00:00Z,3500111.68,,,0
34,341,C-200029,,,PUBLIC,2023-04-04T00:00:00Z,2025-12-31T00:00:00Z,197671.62,,,0
35,853,C-200030,,,SMB,2021-03-08T00:00:00Z,2022-07-22T00:00:00Z,2992845.62,,,0
36,1490,C-200031,,,SMB,2024-08-01T00:00:00Z,2025-12-31T00:00:00Z,1759701,,,0
37,3814,C-200032,,,SMB,2024-07-05T00:00:00Z,2025-12-31T00:00:00Z,3220767.16,,,0
38,4582,C-200033,,,PUBLIC,2025-08-26T00:00:00Z,2025-12-31T00:00:00Z,2562186.8,,,0
39,1660,C-200034,,,MID,2024-11-09T00:00:00Z,2025-08-14T00:00:00Z,2751200.61,,,0
40,2857,C-200035,,,ENT,2025-05-04T00:00:00Z,2025-12-31T00:00:00Z,935361.03,,,0
41,4609,C-200036,,,SMB,2021-09-25T00:00:00Z,2023-04-05T00:00:00Z,1209250.43,,,0
42,3946,C-200037,,,ENT,2023-01-22T00:00:00Z,2025-10-06T00:00:00Z,2849249.55,,,0
43,1528,C-200038,,,ENT,2021-10-30T00:00:00Z,2023-10-03T00:00:00Z,4595466.94,,,0
44,3384,C-200039,,,ENT,2025-01-15T00:00:00Z,2025-12-31T00:00:00Z,983682.21,,,0
45,1652,C-200040,,,ENT,2023-09-25T00:00:00Z,2024-07-11T00:00:00Z,2325275.53,,,0
46,273,C-200041,,,MID,2023-11-06T00:00:00Z,2024-07-30T00:00:00Z,4866942.86,,,0
47,1523,C-200042,,,MID,2021-11-01T00:00:00Z,2022-10-22T00:00:00Z,391674.02,,,0
48,3257,C-200043,,,SMB,2024-08-29T00:00:00Z,2025-12-31T00:00:00Z,1783671.7,,,0
49,1956,C-200044,,,MID,2025-07-08T00:00:00Z,2025-12-31T00:00:00Z,4072429.5,,,0
50,3050,C-200045,,,PUBLIC,2021-04-28T00:00:00Z,2023-10-23T00:00:00Z,2914824.22,,,0
51,4526,C-200046,,,SMB,2025-05-23T00:00:00Z,2025-12-31T00:00:00Z,3979674.86,,,0
52,3898,C-200047,,,SMB,2022-08-23T00:00:00Z,2024-07-23T00:00:00Z,3107197.49,,,0
53,12,C-200048,,,SMB,2021-03-06T00:00:00Z,2022-07-16T00:00:00Z,4601090.11,,,0
54,3682,C-200049,,,ENT,2021-11-30T00:00:00Z,2023-10-28T00:00:00Z,1451248.24,,,0
55,3976,C-200050,,,PUBLIC,2021-09-08T00:00:00Z,2024-03-12T00:00:00Z,1205265.84,,,0
56,1855,C-200051,,,ENT,2021-10-19T00:00:00Z,2022-09-22T00:00:00Z,3014960.41,,,0
57,1716,C-200052,,,MID,2023-08-17T00:00:00Z,2024-03-08T00:00:00Z,3789662.82,,,0
58,3319,C-200053,,,SMB,2021-06-12T00:00:00Z,2022-04-21T00:00:00Z,4314673.16,,,0
59,2408,C-200054,,,MID,2021-05-12T00:00:00Z,2023-03-16T00:00:00Z,4446080.14,,,0
60,1298,C-200055,,,SMB,2024-06-30T00:00:00Z,2025-12-31T00:00:00Z,2393592.36,,,0
61,2741,C-200056,,,SMB,2024-01-13T00:00:00Z,2025-11-30T00:00:00Z,822510.09,,,0
62,857,C-200057,,,MID,2024-05-06T00:00:00Z,2025-12-31T00:00:00Z,557800.78,,,0
63,1813,C-200058,,,SMB,2025-03-28T00:00:00Z,2025-12-31T00:00:00Z,3406441.14,,,0
64,2690,C-200059,,,MID,2021-10-24T00:00:00Z,2022-12-06T00:00:00Z,2121034.18,,,0
65,3659,C-200060,,,SMB,2022-06-22T00:00:00Z,2024-01-30T00:00:00Z,2787315.79,,,0
66,3023,C-200061,,,MID,2025-10-12T00:00:00Z,2025-12-31T00:00:00Z,4832387.99,,,0
67,820,C-200062,,,MID,2025-02-05T00:00:00Z,2025-12-31T00:00:00Z,4088426.76,,,0
68,4576,C-200063,,,MID,2024-11-08T00:00:00Z,2025-12-31T00:00:00Z,4137018.65,,,0
69,2848,C-200064,,,SMB,2023-11-14T00:00:00Z,2024-07-30T00:00:00Z,4201510.83,,,0
70,3311,C-200065,,,ENT,2024-12-10T00:00:00Z,2025-12-31T00:00:00Z,2506846.58,,,0
71,1370,C-200066,,,ENT,2021-07-11T00:00:00Z,2023-10-07T00:00:00Z,2297491.59,,,0
