production_signal_id,network_account_id,signal_channel_code,external_signal_id,signal_text,observed_at,acknowledgement_count,propagation_count,response_count,observation_count,sentiment_score,urgency_score,detected_part_ids,momentum_code,processed_at,created_at
1,262,market_feed,ext_youtube_00000001,Production planners are flagging Industrial-Grade Enclosure Shell from Quantum Plastics Group as a bottleneck this week,2026-06-29T21:44:57Z,63169,43700,42822,5777121,0.286,,,critical,,2026-06-29T21:44:57Z
2,361,supplier_portal,ext_twitter_00000002,Supplier update: Line Changeover Gauge Set capacity at NordicTool Works is getting tight after a spike in work orders,2026-06-28T21:44:57Z,26192,2406,7461,818354,0.575,,,escalating,,2026-06-29T21:44:57Z
3,6,plant_floor,ext_instagram_00000003,Plant dispatch note - GreenPack Materials Returnable Dunnage Tray is the part every line wants scheduled right now,2026-06-27T21:44:57Z,832,78,40,768,0.769,,,stable,,2026-06-29T21:44:57Z
4,160,quality_bulletin,ext_threads_00000004,Transportation delays are slowing component availability for several customer programs,2026-06-26T21:44:57Z,405,50,12,8009,0.049,,,stable,,2026-06-29T21:44:57Z
5,433,quality_bulletin,ext_threads_00000005,"Two-week review of PrecisionCast Foundry Welded Structural Bracket Set: strong yield, but capacity planning matters",2026-06-25T21:44:57Z,227,9,43,6146,0.614,,,stable,,2026-06-29T21:44:57Z
6,107,partner_operations,ext_tiktok_00000006,Maintenance teams keep asking where to find Robotic Palletizer Control Cabinet. Apex Automation Systems is showing up in every shortage thread,2026-06-24T21:44:57Z,6878,1076,372,49570,0.62,,,elevated,,2026-06-29T21:44:57Z
7,222,partner_operations,ext_tiktok_00000007,Operations huddle: prioritize Titan Parts Network Hydraulic Actuator Repair Kit before the weekend production surge,2026-06-23T21:44:57Z,43724,13233,3458,571020,0.72,,,escalating,,2026-06-29T21:44:57Z
8,459,plant_floor,ext_instagram_00000008,Supplier quality screening is surfacing new need for Investment Cast Valve Body from PrecisionCast Foundry,2026-06-22T21:44:57Z,30910,8648,4194,890759,0.696,,,escalating,,2026-06-29T21:44:57Z
9,81,plant_floor,ext_instagram_00000009,Supplier constraints are creating new handoffs to procurement and logistics partners,2026-06-21T21:44:57Z,742,93,39,13387,0.281,,,stable,,2026-06-29T21:44:57Z
10,144,market_feed,ext_youtube_00000010,Operators are asking for clearer shortage signals and faster replenishment windows,2026-06-20T21:44:57Z,8290,1985,329,110937,0.576,,,elevated,,2026-06-29T21:44:57Z
11,53,supplier_portal,ext_twitter_00000011,Recommended CircuitForge Electronics Power Regulation Board to a production planner today because avoidable downtime is the risk,2026-06-19T21:44:57Z,2993,562,128,124564,0.763,,,elevated,,2026-06-29T21:44:57Z
12,160,quality_bulletin,ext_threads_00000012,"Thought Safety Stock Replenishment Bundle demand would level off, but Summit Industrial Supply is still seeing urgent work orders",2026-06-18T21:44:57Z,6806,787,840,91375,0.944,,,elevated,,2026-06-29T21:44:57Z
13,268,quality_bulletin,ext_threads_00000013,Remote monitoring alerts are helping the team catch downtime risk before a line stop,2026-06-17T21:44:57Z,4546,1698,398,151505,0.252,,,elevated,,2026-06-29T21:44:57Z
14,,quality_bulletin,ext_threads_00000014,Transportation delays are slowing component availability for several customer programs,2026-06-16T21:44:57Z,91,99,29,10543,0.332,,,stable,,2026-06-29T21:44:57Z
15,77,partner_operations,ext_tiktok_00000015,The plant is seeing increased demand for changeover tooling after schedule changes,2026-06-15T21:44:57Z,135,47,21,1555,0.529,,,stable,,2026-06-29T21:44:57Z
16,375,partner_operations,ext_tiktok_00000016,Production planners are flagging Welded Structural Bracket Set from PrecisionCast Foundry as a bottleneck this week,2026-06-14T21:44:57Z,486,5,12,15620,0.594,,,stable,,2026-06-29T21:44:57Z
17,286,supplier_portal,ext_twitter_00000017,Supplier update: Vibration Analytics Gateway capacity at Pacific Sensor Systems is getting tight after a spike in work orders,2026-06-13T21:44:57Z,790,47,41,3128,0.461,,,stable,,2026-06-29T21:44:57Z
18,326,supplier_portal,ext_twitter_00000018,Production planners are coordinating work orders across fabrication cells today,2026-06-12T21:44:57Z,29807,4351,1726,873317,0.345,,,escalating,,2026-06-29T21:44:57Z
19,148,supplier_portal,ext_twitter_00000019,Supplier constraints are creating new handoffs to procurement and logistics partners,2026-06-11T21:44:57Z,59,29,15,13974,-0.004,,,stable,,2026-06-29T21:44:57Z
20,256,supplier_portal,ext_twitter_00000020,"Two-week review of Apex Automation Systems Robotic Palletizer Control Cabinet: strong yield, but capacity planning matters",2026-06-10T21:44:57Z,844,11,0,6897,0.947,,,stable,,2026-06-29T21:44:57Z
21,486,supplier_portal,ext_twitter_00000021,Bearing and seal kits are the top request in our maintenance channel this week,2026-06-09T21:44:57Z,71,60,39,9043,0.179,,,stable,,2026-06-29T21:44:57Z
22,143,supplier_portal,ext_twitter_00000022,Operations huddle: prioritize MotorWorks Mobility EV Motor Stator Assembly before the weekend production surge,2026-06-08T21:44:57Z,4823,1710,968,158585,0.87,,,elevated,,2026-06-29T21:44:57Z
23,450,partner_operations,ext_tiktok_00000023,Supplier quality screening is surfacing new need for Power Regulation Board from CircuitForge Electronics,2026-06-07T21:44:57Z,605,21,43,7643,0.656,,,stable,,2026-06-29T21:44:57Z
24,466,supplier_portal,ext_twitter_00000024,"If your plants need Ruggedized Edge Compute Module, check CircuitForge Electronics availability early; slots are moving fast",2026-06-06T21:44:57Z,82,26,18,1503,0.933,,,stable,,2026-06-29T21:44:57Z
25,508,plant_floor,ext_instagram_00000025,Day 30 with the Hydraulic Actuator Repair Kit workflow and the operations team says Titan Parts Network reduced manual expediting,2026-06-05T21:44:57Z,588,43,40,9224,0.212,,,stable,,2026-06-29T21:44:57Z
26,170,quality_bulletin,ext_threads_00000026,Quality engineers keep asking for inspection capacity before launch builds,2026-06-04T21:44:57Z,121,19,15,14452,0.396,,,stable,,2026-06-29T21:44:57Z
27,20,quality_bulletin,ext_threads_00000027,"Thought Torque Sensor Housing demand would level off, but MotorWorks Mobility is still seeing urgent work orders",2026-06-03T21:44:57Z,6032,500,601,150543,0.268,,,elevated,,2026-06-29T21:44:57Z
28,240,quality_bulletin,ext_threads_00000028,Production planners are coordinating work orders across fabrication cells today,2026-06-02T21:44:57Z,1869,402,524,96373,0.475,,,elevated,,2026-06-29T21:44:57Z
29,304,plant_floor,ext_instagram_00000029,Added End-of-Arm Tooling Adapter to the high-priority build plan. Thank you RoboFlex Assembly for closing the gap,2026-06-01T21:44:57Z,560,1,7,2951,0.896,,,stable,,2026-06-29T21:44:57Z
30,75,quality_bulletin,ext_threads_00000030,Line supervisors are asking for Welded Structural Bracket Set through PrecisionCast Foundry; demand is clearly rising,2026-05-31T21:44:57Z,38,78,29,18105,0.727,,,stable,,2026-06-29T21:44:57Z
31,161,plant_floor,ext_instagram_00000031,Bearing and seal kits are the top request in our maintenance channel this week,2026-05-30T21:44:57Z,625,41,40,3659,0.28,,,stable,,2026-06-29T21:44:57Z
32,61,plant_floor,ext_instagram_00000032,Supplier update: Injection Molded Gear Housing capacity at Quantum Plastics Group is getting tight after a spike in work orders,2026-05-29T21:44:57Z,31627,14355,5220,525308,0.783,,,escalating,,2026-06-29T21:44:57Z
33,,market_feed,ext_youtube_00000033,Plant dispatch note - MotorWorks Mobility Torque Sensor Housing is the part every line wants scheduled right now,2026-05-28T21:44:57Z,297807,75497,15021,12188491,0.85,,,critical,,2026-06-29T21:44:57Z
34,39,market_feed,ext_youtube_00000034,Condition-monitoring follow-up: demand for Vibration Analytics Gateway is up and Pacific Sensor Systems needs more capacity slots,2026-05-27T21:44:57Z,8602,1845,332,159986,0.251,,,elevated,,2026-06-29T21:44:57Z
35,480,partner_operations,ext_tiktok_00000035,The plant is seeing increased demand for changeover tooling after schedule changes,2026-05-26T21:44:57Z,337,87,34,9052,-0.244,,,stable,,2026-06-29T21:44:57Z
36,404,plant_floor,ext_instagram_00000036,Maintenance teams keep asking where to find Nickel Alloy Heat Shield. AlloyWorks Fabrication is showing up in every shortage thread,2026-05-25T21:44:57Z,356267,42017,19707,2045731,0.426,,,critical,,2026-06-29T21:44:57Z
37,430,partner_operations,ext_tiktok_00000037,Operations huddle: prioritize PrecisionCast Foundry Welded Structural Bracket Set before the weekend production surge,2026-05-24T21:44:57Z,8611,1423,423,91782,0.29,,,elevated,,2026-06-29T21:44:57Z
38,121,plant_floor,ext_instagram_00000038,Supplier quality screening is surfacing new need for Industrial Gateway PCB Assembly from CircuitForge Electronics,2026-05-23T21:44:57Z,1013,1730,589,106397,0.629,,,elevated,,2026-06-29T21:44:57Z
39,90,quality_bulletin,ext_threads_00000039,Supplier constraints are creating new handoffs to procurement and logistics partners,2026-05-22T21:44:57Z,878,24,15,16892,0,,,stable,,2026-06-29T21:44:57Z
40,275,partner_operations,ext_tiktok_00000040,Day 30 with the Torque Sensor Housing workflow and the operations team says MotorWorks Mobility reduced manual expediting,2026-05-21T21:44:57Z,172,0,20,18834,0.411,,,stable,,2026-06-29T21:44:57Z
41,171,plant_floor,ext_instagram_00000041,Bearing and seal kits are the top request in our maintenance channel this week,2026-05-20T21:44:57Z,467,58,27,16696,0.207,,,stable,,2026-06-29T21:44:57Z
42,,supplier_portal,ext_twitter_00000042,"Thought Temperature Sensor Node demand would level off, but Pacific Sensor Systems is still seeing urgent work orders",2026-05-19T21:44:57Z,193,76,3,6682,0.47,,,stable,,2026-06-29T21:44:57Z
