connection_id,from_influencer,to_influencer,connection_type,strength,interaction_count,first_seen,last_interaction
51742,5847,5593,reshared,0.65,114,2026-05-22T14:21:33Z,2026-05-22T14:21:33Z
51846,5562,5684,mentioned,0.173,119,2026-05-22T14:21:33Z,2026-05-22T14:21:33Z
52006,5778,5535,collaborates,0.522,158,2026-05-22T14:21:33Z,2026-05-22T14:21:33Z
52096,5857,5561,follows,0.438,132,2026-05-22T14:21:33Z,2026-05-22T14:21:33Z
52117,6001,6008,follows,0.601,149,2026-05-22T14:21:34Z,2026-05-22T14:21:34Z
52196,5850,5882,mentioned,0.718,177,2026-05-22T14:21:34Z,2026-05-22T14:21:34Z
52601,5884,5507,collaborates,0.118,88,2026-05-22T14:21:34Z,2026-05-22T14:21:34Z
52708,5658,5837,reshared,0.266,99,2026-05-22T14:21:34Z,2026-05-22T14:21:34Z
52900,5928,5972,inspired_by,0.561,76,2026-05-22T14:21:34Z,2026-05-22T14:21:34Z
53037,5837,5569,reshared,0.939,112,2026-05-22T14:21:34Z,2026-05-22T14:21:34Z
53175,5852,5508,collaborates,0.451,34,2026-05-22T14:21:34Z,2026-05-22T14:21:34Z
53297,5598,5951,tagged,0.709,153,2026-05-22T14:21:34Z,2026-05-22T14:21:34Z
53383,5715,5693,inspired_by,0.774,180,2026-05-22T14:21:34Z,2026-05-22T14:21:34Z
53478,5766,5885,reshared,0.531,1,2026-05-22T14:21:34Z,2026-05-22T14:21:34Z
53684,5843,5916,inspired_by,0.976,195,2026-05-22T14:21:34Z,2026-05-22T14:21:34Z
53958,5825,5530,follows,0.339,159,2026-05-22T14:21:34Z,2026-05-22T14:21:34Z
54099,5982,5950,collaborates,0.846,34,2026-05-22T14:21:34Z,2026-05-22T14:21:34Z
54105,5940,5514,follows,0.213,95,2026-05-22T14:21:34Z,2026-05-22T14:21:34Z
54486,5499,5512,reshared,0.908,40,2026-05-22T14:21:34Z,2026-05-22T14:21:34Z
54540,5734,5921,collaborates,0.224,30,2026-05-22T14:21:34Z,2026-05-22T14:21:34Z
54630,5840,5554,follows,0.917,88,2026-05-22T14:21:34Z,2026-05-22T14:21:34Z
54673,5773,5798,collaborates,0.448,155,2026-05-22T14:21:34Z,2026-05-22T14:21:34Z
54699,5546,5912,inspired_by,0.617,52,2026-05-22T14:21:34Z,2026-05-22T14:21:34Z
54870,5951,5619,mentioned,0.359,100,2026-05-22T14:21:34Z,2026-05-22T14:21:34Z
